dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.949004,11.248134,0.007708,0.770833,38.541648,1927.082383,6.282116
0.020000,18.951998,11.248131,0.010702,0.149703,-31.056514,-3479.908088,6.282306
0.020000,18.957982,11.248126,0.016686,0.299176,7.473654,1926.508423,6.282686
0.020000,18.978256,11.248125,0.036960,1.013692,35.725796,1412.607079,0.000070
0.020000,19.113519,11.248186,0.172223,6.763174,287.474105,12587.415461,0.000827
0.020000,19.282564,11.248405,0.341268,8.452242,84.453396,-10151.035457,0.001772
0.020000,19.485367,11.248879,0.544071,10.140157,84.395775,-2.881072,0.002902
0.020000,19.721899,11.249721,0.780605,11.826688,84.326540,-3.461734,0.004216
0.020000,19.992127,11.251063,1.050837,13.511594,84.245286,-4.062704,0.005713
0.020000,20.296014,11.253054,1.354730,15.194640,84.152336,-4.647470,0.007388
0.020000,20.633514,11.255860,1.692242,16.875599,84.047924,-5.220624,0.009241
0.020000,21.004579,11.259666,2.063326,18.554229,83.931480,-5.822192,0.011268
0.020000,21.409154,11.264669,2.467932,20.230277,83.802404,-6.453798,0.013465
0.020000,21.847177,11.271086,2.906002,21.903512,83.661775,-7.031440,0.015829
0.020000,22.318582,11.279145,3.377476,23.573712,83.510002,-7.588673,0.018356
0.020000,22.823295,11.289090,3.882287,25.240558,83.342303,-8.384931,0.021043
0.020000,23.361238,11.301177,4.420366,26.903921,83.168125,-8.708938,0.023884
0.020000,23.932323,11.315675,4.991635,28.563458,82.976851,-9.563700,0.026875
0.020000,24.536457,11.332864,5.596014,30.218934,82.773829,-10.151097,0.030010
0.020000,25.173541,11.353034,6.233416,31.870128,82.559670,-10.707935,0.033284
0.020000,25.843467,11.376485,6.903753,33.516827,82.334975,-11.234758,0.036692
0.020000,26.546121,11.403525,7.606927,35.158713,82.094288,-12.034355,0.040227
0.020000,27.281383,11.434467,8.342839,36.795620,81.845351,-12.446839,0.043882
0.020000,28.049121,11.469632,9.111383,38.427170,81.577516,-13.391743,0.047652
0.020000,28.849202,11.509345,9.912448,40.053271,81.305054,-13.623101,0.051530
0.020000,29.681479,11.553933,10.745919,41.673541,81.013481,-14.578658,0.055507
0.020000,30.545804,11.603727,11.611677,43.287917,80.718795,-14.734313,0.059576
0.020000,31.442019,11.659057,12.509598,44.896056,80.406965,-15.591486,0.063730
0.020000,32.369959,11.720251,13.439554,46.497768,80.085600,-16.068235,0.067960
0.020000,33.329449,11.787637,14.401408,48.092688,79.746012,-16.979389,0.072258
0.020000,34.320314,11.861536,15.395024,49.680839,79.407528,-16.924229,0.076614
0.020000,35.342366,11.942267,16.420259,51.261753,79.045683,-18.092240,0.081021
0.020000,36.395415,12.030139,17.476969,52.835483,78.686507,-17.958786,0.085468
0.020000,37.479266,12.125455,18.565003,54.401681,78.309902,-18.830254,0.089947
0.020000,38.593716,12.228506,19.684207,55.960201,77.926026,-19.193804,0.094446
0.020000,39.738555,12.339571,20.834420,57.510683,77.524073,-20.097676,0.098957
0.020000,40.913574,12.458919,22.015485,59.053228,77.127242,-19.841551,0.103470
0.020000,42.118554,12.586800,23.227233,60.587386,76.707926,-20.965766,0.107972
0.020000,43.353281,12.723451,24.469498,62.113284,76.294873,-20.652654,0.112455
