dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.666691,16.769983,0.007774,0.777412,38.870588,1943.529410,3.141384
0.020000,184.667306,16.769983,0.008390,0.030781,-37.331542,-3810.106517,3.141423
0.020000,184.668537,16.769982,0.009620,0.061529,1.537413,1943.447757,3.141501
0.020000,184.650153,16.769982,0.028004,0.919197,42.883380,2067.298334,3.141618
0.020000,184.528223,16.769970,0.149934,6.096498,258.865053,10799.083675,3.141774
0.020000,184.375806,16.769927,0.302352,7.620867,76.218442,-9132.330574,3.141969
0.020000,184.192898,16.769837,0.485259,9.145394,76.226382,0.397031,3.142202
0.020000,183.979496,16.769678,0.698662,10.670118,76.236175,0.489617,3.142473
0.020000,183.735594,16.769426,0.942563,12.195083,76.248243,0.603423,3.142782
0.020000,183.461189,16.769052,1.216969,13.720285,76.260117,0.593680,3.143129
0.020000,183.156273,16.768525,1.521885,15.245800,76.275750,0.781652,3.143513
0.020000,182.820841,16.767810,1.857318,16.771633,76.291673,0.796162,3.143934
0.020000,182.454886,16.766869,2.223274,18.297822,76.309421,0.887392,3.144391
0.020000,182.058399,16.765662,2.619763,19.824415,76.329671,1.012496,3.144884
0.020000,181.631374,16.764143,3.046791,21.351417,76.350082,1.020573,3.145413
0.020000,181.173800,16.762267,3.504369,22.878887,76.373492,1.170472,3.145976
0.020000,180.685668,16.759981,3.992505,24.406840,76.397638,1.207333,3.146573
0.020000,180.166969,16.757234,4.511212,25.935320,76.424017,1.318913,3.147204
0.020000,179.617692,16.753970,5.060499,27.464355,76.451770,1.387662,3.147867
0.020000,179.037825,16.750129,5.640378,28.993974,76.480935,1.458268,3.148563
0.020000,178.427357,16.745652,6.250863,30.524233,76.512933,1.599913,3.149289
0.020000,177.786275,16.740475,6.891966,32.055129,76.544794,1.593039,3.150046
0.020000,177.114567,16.734532,7.563700,33.586720,76.579575,1.739019,3.150833
0.020000,176.412219,16.727755,8.266081,35.119035,76.615757,1.809121,3.151648
0.020000,175.679217,16.720075,8.999123,36.652103,76.653386,1.881439,3.152491
0.020000,174.915547,16.711420,9.762842,38.185957,76.692702,1.965820,3.153360
0.020000,174.121194,16.701716,10.557255,39.720641,76.734217,2.075748,3.154255
0.020000,173.296141,16.690888,11.382378,41.256175,76.776669,2.122592,3.155174
0.020000,172.440374,16.678860,12.238230,42.792597,76.821112,2.222137,3.156117
0.020000,171.553875,16.665555,13.124829,44.329941,76.867228,2.305796,3.157082
0.020000,170.636627,16.650892,14.042194,45.868242,76.915037,2.390467,3.158068
0.020000,169.688613,16.634794,14.990345,47.407536,76.964687,2.482476,3.159074
0.020000,168.709815,16.617179,15.969302,48.947847,77.015545,2.542906,3.160098
0.020000,167.700213,16.597967,16.979086,50.489215,77.068422,2.643885,3.161139
0.020000,166.659789,16.577076,18.019719,52.031675,77.122972,2.727465,3.162196
0.020000,165.588524,16.554426,19.091224,53.575256,77.179070,2.804918,3.163267
0.020000,164.486396,16.529934,20.193624,55.119992,77.236785,2.885764,3.164351
0.020000,163.353385,16.503521,21.326943,56.665924,77.296609,2.991198,3.165447
0.020000,162.189471,16.475107,22.491204,58.213073,77.357469,3.042961,3.166552
0.020000,160.994630,16.444611,23.686434,59.761481,77.420394,3.146270,3.167665
0.020000,159.768841,16.411955,24.912657,61.311179,77.484909,3.225767,3.168785
0.020000,158.512082,16.377064,26.169901,62.862200,77.551033,3.306190,3.169909
0.020000,157.224327,16.339860,27.458193,64.414580,77.618971,3.396894,3.171037
0.020000,155.905555,16.300271,28.777560,65.968346,77.688330,3.467961,3.172166
0.020000,154.555739,16.258224,30.128031,67.523538,77.759586,3.562816,3.173294
0.020000,153.174854,16.213652,31.509634,69.080185,77.832342,3.637776,3.174420
0.020000,151.762875,16.166487,32.922401,70.638321,77.906820,3.723911,3.175542
0.020000,150.319775,16.116665,34.366360,72.197979,77.982906,3.804270,3.176658
0.020000,148.845527,16.064127,35.841544,73.759192,78.060660,3.887729,3.177766
0.020000,147.340103,16.008816,37.347984,75.321994,78.140071,3.970549,3.178863
0.020000,145.803474,15.950678,38.885712,76.886416,78.221101,4.051505,3.179949
0.020000,144.235611,15.889666,40.454762,78.452492,78.303788,4.134315,3.181020
0.020000,142.636484,15.825734,42.055167,80.020253,78.388071,4.214146,3.182075
0.020000,141.006060,15.758844,43.686962,81.589734,78.474046,4.298798,3.183111
0.020000,139.344310,15.688960,45.350181,83.160966,78.561604,4.377865,3.184126
0.020000,137.651199,15.616056,47.044861,84.733983,78.650826,4.461129,3.185118
0.020000,135.926694,15.540107,48.771037,86.308815,78.741629,4.540144,3.186085
0.020000,134.170761,15.461097,50.528747,87.885497,78.834081,4.622590,3.187024
0.020000,132.383364,15.379017,52.318028,89.464061,78.928193,4.705597,3.187933
0.020000,130.564465,15.293862,54.138919,91.044538,79.023853,4.782993,3.188809
0.020000,128.714028,15.205639,55.991458,92.626962,79.121235,4.869133,3.189650
0.020000,126.832013,15.114358,57.875686,94.211364,79.220100,4.943234,3.190454
0.020000,124.918380,15.020040,59.791641,95.797779,79.320728,5.031414,3.191217
0.020000,122.973089,14.922715,61.739366,97.386236,79.422866,5.106864,3.191938
0.020000,120.996096,14.822419,63.718901,98.976772,79.526769,5.195177,3.192614
0.020000,118.987357,14.719200,65.730290,100.569416,79.632194,5.271219,3.193241
0.020000,116.946829,14.613116,67.773574,102.164202,79.739304,5.355520,3.193818
0.020000,114.874464,14.504234,69.848797,103.761162,79.847996,5.434591,3.194341
0.020000,112.770215,14.392631,71.956004,105.360329,79.958367,5.518559,3.194808
0.020000,110.634033,14.278398,74.095238,106.961737,80.070410,5.602170,3.195216
0.020000,108.465866,14.161635,76.266547,108.565419,80.184101,5.684535,3.195561
0.020000,106.265663,14.042455,78.469975,110.171407,80.299377,5.763780,3.195842
0.020000,104.033371,13.920984,80.705570,111.779735,80.416411,5.851709,3.196055
0.020000,101.768934,13.797361,82.973378,113.390436,80.535074,5.933174,3.196197
0.020000,99.480058,13.672162,85.265677,114.614918,61.224073,-965.550084,3.196264
0.020000,97.184520,13.546532,87.564650,114.948643,16.686261,-2226.890564,3.196256
0.020000,94.900138,13.421617,89.852445,114.389754,-27.944467,-2231.536425,3.196172
0.020000,92.640169,13.298312,92.115774,113.166473,-61.164023,-1660.977812,3.196015
0.020000,90.410125,13.177069,94.349112,111.666885,-74.979425,-690.770088,3.195787
0.020000,88.210044,13.058033,96.552410,110.164933,-75.097562,-5.906853,3.195492
0.020000,86.039967,12.941331,98.725623,108.660651,-75.214138,-5.828788,3.195134
0.020000,83.899933,12.827080,100.868705,107.154073,-75.328908,-5.738488,3.194714
0.020000,81.789983,12.715387,102.981609,105.645230,-75.442146,-5.661908,3.194235
0.020000,79.710156,12.606344,105.064293,104.134156,-75.553668,-5.576121,3.193701
0.020000,77.660494,12.500035,107.116710,102.620885,-75.663571,-5.495128,3.193115
0.020000,75.641035,12.396531,109.138819,101.105450,-75.771750,-5.408983,3.192478
