dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.669981,32.519982,0.007774,0.777412,38.870588,1943.529410,3.141384
0.020000,184.669981,32.519982,0.038871,2.332235,77.741176,1943.529410,3.141423
0.020000,184.669981,32.519982,0.101064,3.887059,77.741176,-0.000000,3.141501
0.020000,184.649753,32.519982,0.194353,5.441882,77.741176,-0.000000,3.141618
0.020000,184.525367,32.519969,0.318739,6.996706,77.741176,0.000000,3.141774
0.020000,184.369885,32.519926,0.474221,8.551529,77.741176,0.000000,3.141969
0.020000,184.183306,32.519834,0.660800,10.106353,77.741176,0.000000,3.142202
0.020000,183.965631,32.519672,0.878475,11.661176,77.741176,-0.000000,3.142473
0.020000,183.716859,32.519414,1.127247,13.216000,77.741176,0.000000,3.142782
0.020000,183.436991,32.519033,1.407115,14.770824,77.741176,-0.000000,3.143129
0.020000,183.126027,32.518496,1.718080,16.325647,77.741176,0.000000,3.143513
0.020000,182.783967,32.517767,2.060141,17.880471,77.741176,0.000000,3.143934
0.020000,182.410810,32.516808,2.433299,19.435294,77.741176,0.000000,3.144391
0.020000,182.006558,32.515577,2.837553,20.990118,77.741176,0.000000,3.144884
0.020000,181.571210,32.514029,3.272904,22.544941,77.741176,-0.000000,3.145413
0.020000,181.104767,32.512115,3.739351,24.099765,77.741176,0.000000,3.145976
0.020000,180.607229,32.509786,4.236894,25.654588,77.741176,0.000000,3.146573
0.020000,180.078596,32.506986,4.765534,27.209412,77.741176,0.000000,3.147204
0.020000,179.518870,32.503660,5.325271,28.764235,77.741176,0.000000,3.147867
0.020000,178.928050,32.499747,5.916104,30.319059,77.741176,-0.000000,3.148563
0.020000,178.306137,32.495186,6.538033,31.873882,77.741176,0.000000,3.149289
0.020000,177.653133,32.489912,7.191059,33.428706,77.741176,-0.000000,3.150046
0.020000,176.969037,32.483860,7.875181,34.983529,77.741176,0.000000,3.150833
0.020000,176.253852,32.476959,8.590400,36.538353,77.741176,-0.000000,3.151648
0.020000,175.507577,32.469140,9.336715,38.093176,77.741176,0.000000,3.152491
0.020000,174.730216,32.460329,10.114127,39.648000,77.741176,-0.000000,3.153360
0.020000,173.921768,32.450453,10.922635,41.202823,77.741176,0.000000,3.154255
0.020000,173.082235,32.439435,11.762240,42.757647,77.741176,-0.000000,3.155174
0.020000,172.211620,32.427199,12.632941,44.312471,77.741176,0.000000,3.156117
0.020000,171.309924,32.413665,13.534739,45.867294,77.741176,-0.000000,3.157082
0.020000,170.377149,32.398755,14.467633,47.422118,77.741176,0.000000,3.158068
0.020000,169.413298,32.382388,15.431624,48.976941,77.741176,-0.000000,3.159074
0.020000,168.418372,32.364483,16.426711,50.531765,77.741176,0.000000,3.160098
0.020000,167.392374,32.344958,17.452894,52.086588,77.741176,-0.000000,3.161139
0.020000,166.335307,32.323733,18.510174,53.641412,77.741176,0.000000,3.162196
0.020000,165.247174,32.300726,19.598551,55.196235,77.741176,-0.000000,3.163267
0.020000,164.127977,32.275856,20.718024,56.751059,77.741176,0.000000,3.164351
0.020000,162.977721,32.249041,21.868593,58.305882,77.741176,-0.000000,3.165447
0.020000,161.796407,32.220201,23.050259,59.860706,77.741176,0.000000,3.166552
0.020000,160.584039,32.189258,24.263021,61.415529,77.741176,0.000000,3.167665
0.020000,159.340622,32.156133,25.506880,62.970353,77.741176,0.000000,3.168785
0.020000,158.066157,32.120750,26.781835,64.525176,77.741176,0.000000,3.169909
0.020000,156.760650,32.083033,28.087887,66.080000,77.741176,-0.000000,3.171037
0.020000,155.424104,32.042910,29.425035,67.634823,77.741176,-0.000000,3.172166
0.020000,154.056523,32.000311,30.793280,69.189647,77.741176,0.000000,3.173294
0.020000,152.657910,31.955166,32.192621,70.744471,77.741176,0.000000,3.174420
0.020000,151.228270,31.907411,33.623059,72.299294,77.741176,-0.000000,3.175542
0.020000,149.767606,31.856983,35.084593,73.854118,77.741176,0.000000,3.176658
0.020000,148.275923,31.803824,36.577223,75.408941,77.741176,-0.000000,3.177766
0.020000,146.753223,31.747878,38.100951,76.963765,77.741176,0.000000,3.178863
0.020000,145.199511,31.689094,39.655774,78.518588,77.741176,-0.000000,3.179949
0.020000,143.614791,31.627425,41.241694,80.073412,77.741176,0.000000,3.181020
0.020000,141.999065,31.562830,42.858711,81.628235,77.741176,-0.000000,3.182075
0.020000,140.352338,31.495271,44.506823,83.183059,77.741176,0.000000,3.183111
0.020000,138.674611,31.424716,46.186033,84.737882,77.741176,-0.000000,3.184126
0.020000,136.965889,31.351139,47.896339,86.292706,77.741176,0.000000,3.185118
0.020000,135.226173,31.274520,49.637741,87.847529,77.741176,-0.000000,3.186085
0.020000,133.455466,31.194846,51.410240,89.402353,77.741176,0.000000,3.187024
0.020000,131.653769,31.112109,53.213835,90.957176,77.741176,0.000000,3.187933
0.020000,129.821085,31.026309,55.048527,92.512000,77.741176,0.000000,3.188809
0.020000,127.957414,30.937455,56.914315,94.066823,77.741176,-0.000000,3.189650
0.020000,126.062756,30.845561,58.811200,95.621647,77.741176,0.000000,3.190454
0.020000,124.137113,30.750651,60.739181,97.176471,77.741176,0.000000,3.191217
0.020000,122.180482,30.652758,62.698259,98.731294,77.741176,0.000000,3.191938
0.020000,120.192864,30.551924,64.688433,100.286118,77.741176,-0.000000,3.192614
0.020000,118.174257,30.448198,66.709703,101.840941,77.741176,0.000000,3.193241
0.020000,116.124658,30.341642,68.762071,103.395765,77.741176,0.000000,3.193818
0.020000,114.044064,30.232327,70.845534,104.950588,77.741176,-0.000000,3.194341
0.020000,111.932472,30.120335,72.960094,106.505412,77.741176,0.000000,3.194808
0.020000,109.789877,30.005759,75.105751,108.060235,77.741176,-0.000000,3.195216
