dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.673272,48.269982,0.007774,0.777412,38.870588,1943.529410,3.141384
0.020000,184.672657,48.269982,0.008390,0.030781,-37.331542,-3810.106517,3.141423
0.020000,184.671426,48.269982,0.009620,0.061529,1.537413,1943.447757,3.141501
0.020000,184.649354,48.269982,0.031693,1.103621,52.104599,2528.359309,3.141618
0.020000,184.522512,48.269969,0.158535,6.342093,261.923588,10490.949435,3.141774
0.020000,184.363964,48.269925,0.317082,7.927372,79.263978,-9132.980478,3.141969
0.020000,184.173715,48.269831,0.507332,9.512485,79.255638,-0.417025,3.142202
0.020000,183.951767,48.269666,0.729280,11.097403,79.245899,-0.486962,3.142473
0.020000,183.698125,48.269403,0.982922,12.682107,79.235199,-0.534967,3.142782
0.020000,183.412794,48.269014,1.268252,14.266527,79.220967,-0.711602,3.143129
0.020000,183.095781,48.268466,1.585266,15.850673,79.207311,-0.682795,3.143513
0.020000,182.747092,48.267723,1.933956,17.434485,79.190620,-0.834550,3.143934
0.020000,182.366735,48.266746,2.314314,19.017935,79.172486,-0.906716,3.144391
0.020000,181.954717,48.265491,2.726334,20.601007,79.153608,-0.943898,3.144884
0.020000,181.511047,48.263914,3.170007,22.183638,79.131550,-1.102918,3.145413
0.020000,181.035734,48.261964,3.645324,23.765823,79.109254,-1.114784,3.145976
0.020000,180.528790,48.259590,4.152274,25.347510,79.084367,-1.244339,3.146573
0.020000,179.990224,48.256738,4.690848,26.928679,79.058437,-1.296507,3.147204
0.020000,179.420048,48.253350,5.261033,28.509291,79.030569,-1.393406,3.147867
0.020000,178.818275,48.249364,5.862819,30.089307,79.000797,-1.488598,3.148563
0.020000,178.184918,48.244719,6.496194,31.668718,78.970591,-1.510319,3.149289
0.020000,177.519990,48.239349,7.161143,33.247456,78.936863,-1.686380,3.150046
0.020000,176.823507,48.233187,7.857653,34.825511,78.902782,-1.704060,3.150833
0.020000,176.095484,48.226163,8.585710,36.402847,78.866768,-1.800694,3.151648
0.020000,175.335937,48.218205,9.345299,37.979424,78.828864,-1.895214,3.152491
0.020000,174.544884,48.209239,10.136403,39.555210,78.789315,-1.977411,3.153360
0.020000,173.722342,48.199191,10.959006,41.130183,78.748649,-2.033333,3.154255
0.020000,172.868329,48.187983,11.813092,42.704294,78.705554,-2.154747,3.155174
0.020000,171.982866,48.175538,12.698643,44.277517,78.661120,-2.221705,3.156117
0.020000,171.065973,48.161776,13.615639,45.849817,78.615015,-2.305233,3.157082
0.020000,170.117671,48.146617,14.564062,47.421162,78.567259,-2.387806,3.158068
0.020000,169.137982,48.129981,15.543893,48.991522,78.518002,-2.462864,3.159074
0.020000,168.126929,48.111786,16.555110,50.560854,78.466590,-2.570593,3.160098
0.020000,167.084535,48.091950,17.597692,52.129131,78.413861,-2.636423,3.161139
0.020000,166.010825,48.070390,18.671619,53.696320,78.359457,-2.720230,3.162196
0.020000,164.905824,48.047027,19.776866,55.262385,78.303250,-2.810313,3.163267
0.020000,163.769559,48.021777,20.913412,56.827292,78.245314,-2.896811,3.164351
0.020000,162.602056,47.994560,22.081233,58.391015,78.186157,-2.957874,3.165447
0.020000,161.403343,47.965296,23.280303,59.953508,78.124674,-3.074130,3.166552
0.020000,160.173448,47.933905,24.510598,61.514747,78.061932,-3.137104,3.167665
0.020000,158.912402,47.900311,25.772092,63.074696,77.997443,-3.224444,3.168785
0.020000,157.620233,47.864436,27.064758,64.633320,77.931231,-3.310622,3.169909
0.020000,156.296974,47.826206,28.388570,66.190591,77.863511,-3.386006,3.171037
0.020000,154.942654,47.785550,29.743499,67.746468,77.793884,-3.481330,3.172166
0.020000,153.557308,47.742397,31.129518,69.300925,77.722845,-3.551950,3.173294
0.020000,152.140967,47.696680,32.546596,70.853925,77.649990,-3.642732,3.174420
0.020000,150.693665,47.648335,33.994705,72.405436,77.575555,-3.721751,3.175542
0.020000,149.215438,47.597301,35.473813,73.955425,77.499427,-3.806401,3.176658
0.020000,147.706318,47.543521,36.983891,75.503858,77.421676,-3.887572,3.177766
0.020000,146.166343,47.486940,38.524905,77.050704,77.342294,-3.969102,3.178863
0.020000,144.595549,47.427510,40.096823,78.595929,77.261249,-4.052241,3.179949
0.020000,142.993971,47.365185,41.699613,80.139501,77.178585,-4.133195,3.181020
0.020000,141.361647,47.299926,43.333241,81.681386,77.094247,-4.216916,3.182075
0.020000,139.698615,47.231698,44.997672,83.221552,77.008338,-4.295456,3.183111
0.020000,138.004913,47.160472,46.692871,84.759967,76.920748,-4.379460,3.184126
0.020000,136.280579,47.086223,48.418803,86.296599,76.831569,-4.458970,3.185118
0.020000,134.525651,47.008934,50.175432,87.831413,76.740716,-4.542631,3.186085
0.020000,132.740170,46.928595,51.962719,89.364378,76.648263,-4.622652,3.187024
0.020000,130.924175,46.845201,53.780628,90.895463,76.554223,-4.702005,3.187933
0.020000,129.077705,46.758756,55.629121,92.424632,76.458483,-4.787001,3.188809
0.020000,127.200800,46.669271,57.508158,93.951857,76.361221,-4.863106,3.189650
0.020000,125.293500,46.576764,59.417700,95.477101,76.262192,-4.951469,3.190454
0.020000,123.355845,46.481262,61.357707,97.000334,76.161679,-5.025651,3.191217
0.020000,121.387876,46.382802,63.328137,98.521523,76.059421,-5.112890,3.191938
0.020000,119.389633,46.281428,65.328950,100.040636,75.955675,-5.187322,3.192614
0.020000,117.361157,46.177196,67.360103,101.557640,75.850186,-5.274445,3.193241
0.020000,115.302487,46.070168,69.421553,103.072502,75.743115,-5.353551,3.193818
0.020000,113.213664,45.960421,71.513257,104.585189,75.634348,-5.438331,3.194341
0.020000,111.094729,45.848040,73.635170,106.095669,75.523976,-5.518621,3.194808
0.020000,108.945721,45.733121,75.787248,107.603908,75.411980,-5.599783,3.195216
0.020000,106.766681,45.615772,77.969446,109.109875,75.298325,-5.682754,3.195561
0.020000,104.557649,45.496114,80.181716,110.613533,75.182936,-5.769449,3.195842
0.020000,102.318664,45.374279,82.424013,112.114853,75.065975,-5.848046,3.196055
0.020000,100.049767,45.250412,84.696289,113.613799,74.947299,-5.933787,3.196197
0.020000,97.758760,45.125098,86.990721,114.721553,55.387700,-977.979962,3.196264
0.020000,95.463486,44.999481,89.289430,114.935475,10.696096,-2234.580208,3.196256
0.020000,93.181746,44.874711,91.574578,114.257423,-33.902569,-2229.933252,3.196172
0.020000,90.926726,44.751676,93.832953,112.918704,-66.935979,-1651.670491,3.196015
0.020000,88.703836,44.630822,96.059125,111.308645,-80.502963,-678.349174,3.195787
0.020000,86.513021,44.512287,98.253144,109.700950,-80.384746,5.910843,3.195492
0.020000,84.354229,44.396192,100.415056,108.095584,-80.268308,5.821888,3.195134
0.020000,82.227407,44.282647,102.544906,106.492516,-80.153393,5.745751,3.194714
0.020000,80.132506,44.171750,104.642741,104.891711,-80.040261,5.656578,3.194235
0.020000,78.069477,44.063588,106.708603,103.293136,-79.928718,5.577143,3.193701
0.020000,76.038272,43.958236,108.742539,101.696759,-79.818849,5.493480,3.193115
0.020000,74.038846,43.855759,110.744590,100.102548,-79.710541,5.415408,3.192478
0.020000,72.071153,43.756211,112.714799,98.510468,-79.604028,5.325631,3.191794
0.020000,70.135150,43.659638,114.653209,96.920489,-79.498947,5.254048,3.191065
0.020000,68.230796,43.566076,116.559860,95.332575,-79.395684,5.163151,3.190294
0.020000,66.358049,43.475550,118.434794,93.746696,-79.293964,5.086001,3.189484
0.020000,64.516869,43.388080,120.278050,92.162819,-79.193831,5.006644,3.188637
0.020000,62.707218,43.303675,122.089669,90.580911,-79.095389,4.922129,3.187756
0.020000,60.929058,43.222338,123.869687,89.000940,-78.998553,4.841774,3.186842
0.020000,59.182354,43.144065,125.618145,87.422874,-78.903344,4.760474,3.185899
0.020000,57.467069,43.068844,127.335079,85.846679,-78.809725,4.680937,3.184929
0.020000,55.783169,42.996657,129.020525,84.272324,-78.717764,4.598063,3.183934
0.020000,54.130621,42.927480,130.674521,82.699775,-78.627447,4.515846,3.182917
0.020000,52.509391,42.861283,132.297101,81.129002,-78.538659,4.439369,3.181879
0.020000,50.919450,42.798030,133.888300,79.559969,-78.451637,4.351130,3.180824
0.020000,49.360765,42.737681,135.448153,77.992646,-78.366150,4.274348,3.179752
0.020000,47.833306,42.680192,136.976693,76.426999,-78.282324,4.191276,3.178667
0.020000,46.337045,42.625511,138.473953,74.862997,-78.200140,4.109199,3.177570
0.020000,44.871953,42.573585,139.939965,73.300605,-78.119580,4.028018,3.176464
0.020000,43.438002,42.524358,141.374761,71.739791,-78.040686,3.944703,3.175349
0.020000,42.035165,42.477768,142.778371,70.180523,-77.963413,3.863636,3.174230
0.020000,40.663415,42.433750,144.150826,68.622767,-77.887788,3.781240,3.173106
0.020000,39.322728,42.392238,145.492156,67.066491,-77.813812,3.698838,3.171981
0.020000,38.013078,42.353163,146.802390,65.511661,-77.741513,3.614916,3.170855
0.020000,36.734440,42.316452,148.081554,63.958243,-77.670879,3.531703,3.169732
0.020000,35.486790,42.282032,149.329679,62.406206,-77.601845,3.451696,3.168612
0.020000,34.270106,42.249826,150.546789,60.855516,-77.534495,3.367535,3.167497
0.020000,33.084365,42.219759,151.732912,59.306139,-77.468852,3.282117,3.166389
0.020000,31.929543,42.191750,152.888072,57.758043,-77.404808,3.202228,3.165290
0.020000,30.805621,42.165722,154.012296,56.211194,-77.342440,3.118365,3.164201
0.020000,29.712576,42.141594,155.105608,54.665556,-77.281906,3.026741,3.163123
0.020000,28.650388,42.119285,156.168030,53.121100,-77.222801,2.955251,3.162059
0.020000,27.619037,42.098715,157.199585,51.577791,-77.165447,2.867676,3.161009
0.020000,26.618504,42.079801,158.200297,50.035595,-77.109797,2.782491,3.159975
0.020000,25.648770,42.062465,159.170187,48.494481,-77.055700,2.704857,3.158959
0.020000,24.709815,42.046625,160.109275,46.954404,-77.003853,2.592349,3.157961
0.020000,23.801623,42.032200,161.017582,45.415351,-76.952643,2.560489,3.156984
0.020000,22.924175,42.019113,161.895127,43.877273,-76.903905,2.436926,3.156028
0.020000,22.077455,42.007285,162.741930,42.340139,-76.856740,2.358230,3.155094
0.020000,21.261446,41.996638,163.558009,40.803917,-76.811087,2.282638,3.154184
0.020000,20.476132,41.987096,164.343380,39.268579,-76.766899,2.209420,3.153298
0.020000,19.721498,41.978587,165.098062,37.734081,-76.724907,2.099596,3.152438
0.020000,18.997530,41.971035,165.822070,36.200401,-76.683988,2.045971,3.151606
0.020000,18.304212,41.964371,166.515420,34.667495,-76.645315,1.933613,3.150801
0.020000,17.641531,41.958526,167.178126,33.135332,-76.608123,1.859647,3.150024
0.020000,17.009474,41.953432,167.810204,31.603885,-76.572365,1.787858,3.149278
0.020000,16.408028,41.949025,168.411667,30.073125,-76.538000,1.718283,3.148562
0.020000,15.837180,41.945242,168.982526,28.542991,-76.506676,1.566170,3.147877
0.020000,15.296920,41.942022,169.522796,27.013487,-76.475238,1.571941,3.147225
0.020000,14.787236,41.939309,170.032487,25.484557,-76.446483,1.437715,3.146605
0.020000,14.308118,41.937048,170.511611,23.956174,-76.419132,1.367550,3.146019
0.020000,13.859556,41.935186,170.960177,22.428308,-76.393320,1.290635,3.145468
0.020000,13.441540,41.933674,171.378195,20.900908,-76.369987,1.166626,3.144951
0.020000,13.054063,41.932466,171.765674,19.373972,-76.346815,1.158600,3.144469
0.020000,12.697115,41.931519,172.122623,17.847445,-76.326329,1.024286,3.144024
0.020000,12.370690,41.930792,172.449049,16.321298,-76.307386,0.947186,3.143614
0.020000,12.074780,41.930249,172.744959,14.795502,-76.289785,0.880047,3.143242
0.020000,11.809380,41.929856,173.010360,13.270028,-76.273668,0.805826,3.142907
0.020000,11.574484,41.929582,173.245256,11.744820,-76.260400,0.663420,3.142610
0.020000,11.370086,41.929400,173.449654,10.219880,-76.247042,0.667900,3.142350
0.020000,11.196183,41.929288,173.623557,8.695154,-76.236300,0.537096,3.142129
0.020000,11.052771,41.929224,173.766969,7.170613,-76.227046,0.462665,3.141946
0.020000,10.939847,41.929192,173.879894,5.646231,-76.219100,0.397312,3.141802
0.020000,10.857408,41.929180,173.962333,4.121949,-76.214064,0.251836,3.141696
0.020000,10.805452,41.929176,174.014288,2.597781,-76.208446,0.280892,3.141630
0.020000,10.781727,41.929175,174.038014,1.186268,-70.575604,281.642063,3.141600
0.020000,10.776358,41.929175,174.043382,0.268413,-45.892761,1234.142149,3.141593
0.020000,10.776358,41.929175,174.043382,0.000000,-13.420661,1623.605008,3.141593
