dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,73.151393,128.342222,0.007696,0.769615,38.480761,1924.038068,5.694150
0.020000,73.151777,128.341965,0.008158,0.023098,-37.325864,-3790.331263,5.694121
0.020000,73.152544,128.341452,0.009081,0.046153,1.152760,1923.931203,5.694062
0.020000,73.179356,128.323532,0.041330,1.612444,78.314529,3858.088449,5.693974
0.020000,73.283256,128.254075,0.166308,6.248887,231.822139,7675.380513,5.693858
0.020000,73.413114,128.167241,0.322524,7.810787,78.095011,-7686.356418,5.693712
0.020000,73.568919,128.063020,0.509973,9.372474,78.084367,-0.532212,5.693538
0.020000,73.750658,127.941401,0.728651,10.933904,78.071474,-0.644619,5.693336
0.020000,73.958316,127.802374,0.978552,12.495036,78.056629,-0.742269,5.693106
0.020000,74.191874,127.645923,1.259668,14.055824,78.039383,-0.862303,5.692848
0.020000,74.451314,127.472033,1.571993,15.616229,78.020236,-0.957337,5.692564
0.020000,74.736614,127.280688,1.915517,17.176205,77.998831,-1.070282,5.692253
0.020000,75.047749,127.071869,2.290231,18.735712,77.975337,-1.174669,5.691917
0.020000,75.384695,126.845557,2.696125,20.294703,77.949564,-1.288674,5.691555
0.020000,75.747425,126.601730,3.133188,21.853142,77.921932,-1.381611,5.691169
0.020000,76.135908,126.340368,3.601408,23.410979,77.891851,-1.504011,5.690760
0.020000,76.550114,126.061446,4.100771,24.968176,77.859847,-1.600237,5.690327
0.020000,76.990010,125.764941,4.631265,26.524687,77.825563,-1.714191,5.689873
0.020000,77.455562,125.450828,5.192874,28.080473,77.789276,-1.814349,5.689398
0.020000,77.946733,125.119083,5.785584,29.635489,77.750801,-1.923729,5.688902
0.020000,78.463488,124.769678,6.409378,31.189692,77.710168,-2.031665,5.688388
0.020000,79.005786,124.402588,7.064239,32.743039,77.667332,-2.141814,5.687856
0.020000,79.573589,124.017786,7.750148,34.295487,77.622426,-2.245291,5.687307
0.020000,80.166854,123.615246,8.467088,35.846996,77.575461,-2.348221,5.686742
0.020000,80.785540,123.194939,9.215039,37.397522,77.526291,-2.458531,5.686163
0.020000,81.429604,122.756841,9.993979,38.947022,77.474984,-2.565316,5.685571
0.020000,82.099002,122.300925,10.803888,40.495451,77.421437,-2.677368,5.684967
0.020000,82.793689,121.827166,11.644744,42.042769,77.365944,-2.774639,5.684353
0.020000,83.513619,121.335538,12.516522,43.588933,77.308170,-2.888735,5.683730
0.020000,84.258748,120.826018,13.419200,45.133903,77.248535,-2.981732,5.683100
0.020000,85.029029,120.298583,14.352753,46.677629,77.186292,-3.112152,5.682464
0.020000,85.824416,119.753211,15.317155,48.220077,77.122402,-3.194474,5.681824
