dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.651284,102.150693,0.007696,0.769615,38.480761,1924.038068,5.694150
0.020000,55.650900,102.150950,0.008158,0.023098,-37.325864,-3790.331263,5.694121
0.020000,55.650132,102.151463,0.009081,0.046153,1.152760,1923.931203,5.694062
0.020000,55.674645,102.135079,0.038565,1.474198,71.402244,3512.474189,5.693974
0.020000,55.775486,102.067666,0.159864,6.064958,229.537996,7906.787583,5.693858
0.020000,55.901533,101.983381,0.311495,7.581517,75.827974,-7685.501061,5.693712
0.020000,56.052780,101.882208,0.493460,9.098292,75.838709,0.536731,5.693538
0.020000,56.229224,101.764134,0.705767,10.615321,75.851475,0.638311,5.693336
0.020000,56.430859,101.629138,0.948420,12.132652,75.866560,0.754229,5.693106
0.020000,56.657679,101.477201,1.221426,13.650323,75.883528,0.848426,5.692848
0.020000,56.909679,101.308298,1.524794,15.168380,75.902866,0.966907,5.692564
0.020000,57.186850,101.122404,1.858531,16.686865,75.924227,1.068005,5.692253
0.020000,57.489186,100.919491,2.222648,18.205820,75.947775,1.177425,5.691917
0.020000,57.816679,100.699528,2.617153,19.725287,75.973325,1.277501,5.691555
0.020000,58.169319,100.462484,3.042060,21.245312,76.001286,1.398055,5.691169
0.020000,58.547098,100.208322,3.497378,22.765934,76.031086,1.489968,5.690760
0.020000,58.950007,99.937008,3.983122,24.287199,76.063232,1.607315,5.690327
0.020000,59.378036,99.648502,4.499305,25.809146,76.097380,1.707411,5.689873
0.020000,59.831176,99.342764,5.045942,27.331822,76.133798,1.820902,5.689398
0.020000,60.309417,99.019752,5.623047,28.855268,76.172306,1.925395,5.688902
0.020000,60.812748,98.679423,6.230638,30.379527,76.212931,2.031251,5.688388
0.020000,61.341161,98.321733,6.868730,31.904640,76.255629,2.134901,5.687856
0.020000,61.894645,97.946635,7.537343,33.430650,76.300529,2.244992,5.687307
0.020000,62.473191,97.554081,8.236495,34.957603,76.347640,2.355556,5.686742
0.020000,63.076790,97.144025,8.966206,36.485539,76.396817,2.458848,5.686163
0.020000,63.705433,96.716416,9.726496,38.014502,76.448127,2.565489,5.685571
0.020000,64.359112,96.271206,10.517387,39.544531,76.501464,2.666887,5.684967
0.020000,65.037819,95.808344,11.338900,41.075674,76.557117,2.782611,5.684353
0.020000,65.741547,95.327780,12.191060,42.607969,76.614753,2.881792,5.683730
0.020000,66.470292,94.829464,13.073889,44.141464,76.674782,3.001473,5.683100
0.020000,67.224047,94.313345,13.987413,45.676194,76.736471,3.084430,5.682464
0.020000,68.002809,93.779372,14.931657,47.212209,76.800756,3.214295,5.681824
0.020000,68.806575,93.227497,15.906648,48.749547,76.866932,3.308763,5.681182
0.020000,69.635346,92.657669,16.912413,50.288254,76.935316,3.419226,5.680539
0.020000,70.489120,92.069842,17.948980,51.828365,77.005569,3.512657,5.679897
0.020000,71.367901,91.463967,19.016379,53.369934,77.078443,3.643699,5.679258
0.020000,72.271693,90.840000,20.114639,54.912993,77.152964,3.726014,5.678624
0.020000,73.200501,90.197895,21.243791,56.457590,77.229827,3.843144,5.677997
0.020000,74.154336,89.537612,22.403866,58.003764,77.308691,3.943222,5.677378
0.020000,75.133207,88.859108,23.594897,59.551561,77.389890,4.059941,5.676771
0.020000,76.137129,88.162348,24.816918,61.101022,77.473024,4.156709,5.676176
0.020000,77.166117,87.447294,26.069962,62.652189,77.558335,4.265545,5.675597
0.020000,78.220192,86.713916,27.354064,64.205102,77.645663,4.366407,5.675035
0.020000,79.299375,85.962182,28.669260,65.759806,77.735189,4.476313,5.674493
0.020000,80.403694,85.192068,30.015587,67.316344,77.826901,4.585588,5.673972
