dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.287172,41.519694,0.000975,0.195000,19.500000,1950.000000,6.282231
0.010000,6.286929,41.519694,0.001219,0.024359,-17.064074,-3656.407422,6.282246
0.010000,6.286381,41.519694,0.001767,0.054805,3.044589,2010.866326,6.282281
0.010000,6.285407,41.519695,0.002741,0.097420,4.261535,121.694573,6.282343
0.010000,6.283885,41.519696,0.004263,0.152192,5.477115,121.558019,6.282439
0.010000,6.281694,41.519698,0.006454,0.219096,6.690459,121.334359,6.282579
0.010000,6.278713,41.519699,0.009435,0.298101,7.900476,121.001725,6.282768
0.010000,6.274821,41.519700,0.013326,0.389160,9.105857,120.538162,6.283015
0.010000,6.304911,41.519703,0.043416,3.009003,261.984371,25287.851383,0.000138
0.010000,6.392683,41.519731,0.131188,8.777207,576.820419,31483.604748,0.000508
0.010000,6.495086,41.519806,0.233591,10.240295,146.308735,-43051.168365,0.000940
0.010000,6.612131,41.519944,0.350636,11.704508,146.421345,11.260985,0.001432
0.010000,6.743812,41.520169,0.482318,13.168150,146.364197,-5.714781,0.001986
0.010000,6.890141,41.520505,0.628647,14.632883,146.473283,10.908563,0.002600
0.010000,7.051117,41.520978,0.789623,16.097628,146.474473,0.119058,0.003274
0.010000,7.226743,41.521617,0.965251,17.562778,146.515036,4.056312,0.004009
0.010000,7.417026,41.522456,1.155536,19.028507,146.572839,5.780239,0.004804
0.010000,7.621973,41.523528,1.360485,20.494926,146.641899,6.906024,0.005658
0.010000,7.841587,41.524871,1.580103,21.961816,146.689069,4.716970,0.006571
0.010000,8.075873,41.526524,1.814396,23.429248,146.743219,5.414975,0.007543
0.010000,8.324840,41.528530,2.063370,24.897415,146.816703,7.348396,0.008573
0.010000,8.588492,41.530934,2.327034,26.366379,146.896315,7.961271,0.009661
0.010000,8.866837,41.533783,2.605393,27.835936,146.955784,5.946894,0.010806
0.010000,9.159880,41.537126,2.898455,29.306210,147.027403,7.161916,0.012009
0.010000,9.467629,41.541016,3.206229,30.777367,147.115622,8.821891,0.013268
0.010000,9.790095,41.545506,3.528726,32.249736,147.236941,12.131839,0.014582
0.010000,10.127280,41.550655,3.865951,33.722424,147.268808,3.186707,0.015952
0.010000,10.479200,41.556520,4.217919,35.196825,147.440041,17.123325,0.017376
0.010000,10.845855,41.563163,4.584634,36.671565,147.474083,3.404172,0.018855
0.010000,11.227260,41.570647,4.966112,38.147779,147.621318,14.723581,0.020386
0.010000,11.623421,41.579039,5.362363,39.625061,147.728200,10.688199,0.021970
0.010000,12.034348,41.588405,5.773396,41.103357,147.829607,10.140621,0.023606
0.010000,12.460050,41.598816,6.199226,42.582926,147.956952,12.734544,0.025293
0.010000,12.900537,41.610342,6.639864,44.063794,148.086823,12.987100,0.027030
0.010000,13.355820,41.623059,7.095323,45.545990,148.219532,13.270924,0.028817
0.010000,13.825907,41.637042,7.565619,47.029544,148.355391,13.585891,0.030652
0.010000,14.310810,41.652367,8.050764,48.514491,148.494709,13.931788,0.032535
0.010000,14.810538,41.669115,8.550773,50.000869,148.637792,14.308308,0.034465
0.010000,15.325102,41.687365,9.065660,51.488718,148.784943,14.715053,0.036440
0.010000,15.854513,41.707202,9.595443,52.978292,148.957371,17.242828,0.038460
0.010000,16.398783,41.728708,10.140137,54.469427,149.113499,15.612842,0.040524
0.010000,16.957919,41.751970,10.699757,55.962039,149.261241,14.774108,0.042631
0.010000,17.531938,41.777074,11.274325,57.456747,149.470734,20.949341,0.044779
0.010000,18.120846,41.804109,11.863853,58.952848,149.610157,13.942345,0.046967
0.010000,18.724658,41.833164,12.468363,60.451016,149.816786,20.662879,0.049195
0.010000,19.343384,41.864331,13.087873,61.951008,149.999220,18.243357,0.051461
0.010000,19.977034,41.897701,13.722402,63.452858,150.184956,18.573584,0.053764
0.010000,20.625621,41.933367,14.371969,64.956734,150.387578,20.262224,0.056103
0.010000,21.289158,41.971423,15.036596,66.462671,150.593774,20.619573,0.058476
0.010000,21.967655,42.011964,15.716303,67.970710,150.803889,21.011511,0.060882
0.010000,22.660202,42.055027,16.410188,69.388475,141.776491,-902.739753,0.063316
0.010000,23.364965,42.100580,17.116422,70.623372,123.489668,-1828.682271,0.065771
0.010000,24.080107,42.148571,17.833172,71.675081,105.170952,-1831.871606,0.068239
0.010000,24.803790,42.198932,18.558605,72.543271,86.818980,-1835.197189,0.070713
0.010000,25.534171,42.251576,19.290881,73.227596,68.432479,-1838.650115,0.073186
0.010000,26.269407,42.306394,20.028158,73.727699,50.010299,-1842.218051,0.075651
0.010000,27.007653,42.363261,20.768591,74.043253,31.555377,-1845.492160,0.078101
0.010000,27.747059,42.422032,21.510329,74.173820,13.056721,-1849.865625,0.080531
0.010000,28.486699,42.482622,22.252447,74.211795,3.797559,-925.916220,0.082936
0.010000,29.226572,42.545014,22.994945,74.249856,3.806067,0.850857,0.085317
0.010000,29.966675,42.609191,23.737825,74.288008,3.815189,0.912177,0.087674
0.010000,30.707006,42.675137,24.481088,74.326232,3.822450,0.726112,0.090006
0.010000,31.447563,42.742836,25.224733,74.364504,3.827173,0.472247,0.092315
0.010000,32.188344,42.812271,25.968761,74.402844,3.833968,0.679513,0.094598
0.010000,32.929348,42.883425,26.713174,74.441246,3.840239,0.627075,0.096858
0.010000,33.670573,42.956281,27.457971,74.479695,3.844877,0.463887,0.099093
0.010000,34.412018,43.030824,28.203153,74.518199,3.850362,0.548421,0.101304
0.010000,35.153680,43.107036,28.948720,74.556755,3.855597,0.523543,0.103490
0.010000,35.895558,43.184901,29.694674,74.595359,3.860450,0.485252,0.105652
0.010000,36.637652,43.264400,30.441013,74.633965,3.860576,0.012660,0.107789
0.010000,37.379959,43.345519,31.187740,74.672641,3.867620,0.704423,0.109901
0.010000,38.122479,43.428239,31.934853,74.711357,3.871568,0.394713,0.111989
0.010000,38.865211,43.512545,32.682354,74.750107,3.875053,0.348544,0.114053
0.010000,39.608153,43.598417,33.430243,74.788834,3.872700,-0.235299,0.116092
0.010000,40.351304,43.685841,34.178519,74.827618,3.878392,0.569179,0.118106
0.010000,41.094665,43.774798,34.927183,74.866443,3.882486,0.409377,0.120095
0.010000,41.838234,43.865272,35.676236,74.905291,3.884755,0.226981,0.122060
