dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.272138,25.769701,0.000975,0.195000,19.500000,1950.000000,6.282231
0.010000,6.272138,25.769701,0.004875,0.585000,39.000000,1950.000000,6.282246
0.010000,6.272138,25.769701,0.013650,1.170000,58.500000,1950.000000,6.282281
0.010000,6.272138,25.769701,0.029250,1.950000,78.000000,1950.000000,6.282343
0.010000,6.272138,25.769701,0.053625,2.925000,97.500000,1950.000000,6.282439
0.010000,6.272138,25.769701,0.088725,4.095000,117.000000,1950.000000,6.282579
0.010000,6.272138,25.769701,0.136500,5.460000,136.500000,1950.000000,6.282768
0.010000,6.272138,25.769701,0.198900,7.020000,156.000000,1950.000000,6.283015
0.010000,6.307089,25.769703,0.276900,8.580000,156.000000,0.000000,0.000138
0.010000,6.400690,25.769733,0.370500,10.140000,156.000000,0.000000,0.000508
0.010000,6.509888,25.769812,0.479700,11.700000,156.000000,-0.000000,0.000940
0.010000,6.634690,25.769960,0.604500,13.260000,156.000000,0.000000,0.001432
0.010000,6.775088,25.770200,0.744900,14.820000,156.000000,-0.000000,0.001986
0.010000,6.931089,25.770558,0.900900,16.380000,156.000000,0.000000,0.002600
0.010000,7.102689,25.771062,1.072500,17.940000,156.000000,0.000000,0.003274
0.010000,7.289887,25.771744,1.259700,19.500000,156.000000,-0.000000,0.004009
0.010000,7.492683,25.772638,1.462500,21.060000,156.000000,0.000000,0.004804
0.010000,7.711080,25.773780,1.680900,22.620000,156.000000,-0.000000,0.005658
0.010000,7.945076,25.775211,1.914900,24.180000,156.000000,0.000000,0.006571
0.010000,8.194670,25.776972,2.164500,25.740000,156.000000,0.000000,0.007543
0.010000,8.459861,25.779109,2.429700,27.300000,156.000000,-0.000000,0.008573
0.010000,8.740651,25.781669,2.710500,28.860000,156.000000,0.000000,0.009661
0.010000,9.037036,25.784702,3.006900,30.420000,156.000000,0.000000,0.010806
0.010000,9.349015,25.788262,3.318900,31.980000,156.000000,-0.000000,0.012009
0.010000,9.676587,25.792402,3.646500,33.540000,156.000000,0.000000,0.013268
0.010000,10.019756,25.797181,3.989700,35.100000,156.000000,0.000000,0.014582
0.010000,10.378512,25.802659,4.348500,36.660000,156.000000,-0.000000,0.015952
0.010000,10.752862,25.808898,4.722900,38.220000,156.000000,0.000000,0.017376
0.010000,11.142797,25.815962,5.112900,39.780000,156.000000,0.000000,0.018855
0.010000,11.548319,25.823920,5.518500,41.340000,156.000000,0.000000,0.020386
0.010000,11.969425,25.832840,5.939700,42.900000,156.000000,0.000000,0.021970
0.010000,12.406111,25.842793,6.376500,44.460000,156.000000,-0.000000,0.023606
0.010000,12.858375,25.853853,6.828900,46.020000,156.000000,0.000000,0.025293
0.010000,13.326215,25.866096,7.296900,47.580000,156.000000,0.000000,0.027030
0.010000,13.809626,25.879598,7.780500,49.140000,156.000000,0.000000,0.028817
0.010000,14.308606,25.894440,8.279700,50.700000,156.000000,0.000000,0.030652
0.010000,14.823149,25.910702,8.794500,52.260000,156.000000,0.000000,0.032535
0.010000,15.353251,25.928468,9.324900,53.820000,156.000000,-0.000000,0.034465
0.010000,15.898907,25.947821,9.870900,55.380000,156.000000,0.000000,0.036440
0.010000,16.460113,25.968849,10.432500,56.940000,156.000000,0.000000,0.038460
0.010000,17.036864,25.991639,11.009700,58.500000,156.000000,0.000000,0.040524
0.010000,17.629150,26.016279,11.602500,60.060000,156.000000,0.000000,0.042631
0.010000,18.236970,26.042862,12.210900,61.620000,156.000000,0.000000,0.044779
0.010000,18.860312,26.071477,12.834900,63.180000,156.000000,0.000000,0.046967
0.010000,19.499173,26.102219,13.474500,64.740000,156.000000,-0.000000,0.049195
0.010000,20.153544,26.135181,14.129700,66.300000,156.000000,0.000000,0.051461
0.010000,20.823415,26.170459,14.800500,67.860000,156.000000,0.000000,0.053764
0.010000,21.508779,26.208147,15.486900,69.420000,156.000000,0.000000,0.056103
0.010000,22.209627,26.248343,16.188900,70.980000,156.000000,0.000000,0.058476
0.010000,22.925949,26.291145,16.906500,72.540000,156.000000,0.000000,0.060882
0.010000,23.656762,26.336587,17.638725,73.905000,136.500000,-1950.000000,0.063316
0.010000,24.400111,26.384633,18.383625,75.075000,117.000000,-1950.000000,0.065771
0.010000,25.154040,26.435228,19.139250,76.050000,97.500000,-1950.000000,0.068239
0.010000,25.916596,26.488294,19.903650,76.830000,78.000000,-1950.000000,0.070713
0.010000,26.685825,26.543737,20.674875,77.415000,58.500000,-1950.000000,0.073186
0.010000,27.459776,26.601441,21.450975,77.805000,39.000000,-1950.000000,0.075651
0.010000,28.236500,26.661273,22.230000,78.000000,19.500000,-1950.000000,0.078101
0.010000,29.014048,26.723076,23.010000,78.000000,0.000000,-1950.000000,0.080531
0.010000,29.791443,26.786758,23.790000,78.000000,0.000000,0.000000,0.082936
0.010000,30.568684,26.852301,24.570000,78.000000,0.000000,0.000000,0.085317
0.010000,31.345768,26.919685,25.350000,78.000000,0.000000,0.000000,0.087674
0.010000,32.122692,26.988891,26.130000,78.000000,0.000000,0.000000,0.090006
0.010000,32.899452,27.059899,26.910000,78.000000,0.000000,0.000000,0.092315
0.010000,33.676048,27.132690,27.690000,78.000000,0.000000,0.000000,0.094598
0.010000,34.452477,27.207246,28.470000,78.000000,0.000000,0.000000,0.096858
0.010000,35.228736,27.283546,29.250000,78.000000,0.000000,0.000000,0.099093
0.010000,36.004823,27.361572,30.030000,78.000000,0.000000,0.000000,0.101304
0.010000,36.780737,27.441303,30.810000,78.000000,0.000000,0.000000,0.103490
0.010000,37.556476,27.522721,31.590000,78.000000,0.000000,0.000000,0.105652
0.010000,38.332038,27.605807,32.370000,78.000000,0.000000,0.000000,0.107789
0.010000,39.107422,27.690540,33.150000,78.000000,0.000000,0.000000,0.109901
0.010000,39.882626,27.776901,33.930000,78.000000,0.000000,0.000000,0.111989
0.010000,40.657649,27.864872,34.710000,78.000000,0.000000,0.000000,0.114053
0.010000,41.432490,27.954432,35.490000,78.000000,0.000000,0.000000,0.116092
0.010000,42.207148,28.045562,36.270000,78.000000,0.000000,0.000000,0.118106
0.010000,42.981622,28.138242,37.050000,78.000000,0.000000,0.000000,0.120095
0.010000,43.755912,28.232454,37.830000,78.000000,0.000000,0.000000,0.122060
0.010000,44.530015,28.328177,38.610000,78.000000,0.000000,0.000000,0.124000
0.010000,45.303933,28.425392,39.390000,78.000000,0.000000,0.000000,0.125916
0.010000,46.077665,28.524081,40.170000,78.000000,0.000000,0.000000,0.127807
0.010000,46.851210,28.624222,40.950000,78.000000,0.000000,0.000000,0.129673
0.010000,47.624567,28.725798,41.730000,78.000000,0.000000,0.000000,0.131515
0.010000,48.397738,28.828788,42.510000,78.000000,0.000000,0.000000,0.133331
0.010000,49.170721,28.933173,43.290000,78.000000,0.000000,0.000000,0.135124
0.010000,49.943518,29.038933,44.070000,78.000000,0.000000,0.000000,0.136891
0.010000,50.716128,29.146050,44.850000,78.000000,0.000000,0.000000,0.138634
0.010000,51.488551,29.254503,45.630000,78.000000,0.000000,0.000000,0.140352
0.010000,52.260788,29.364274,46.410000,78.000000,0.000000,0.000000,0.142045
0.010000,53.032840,29.475343,47.190000,78.000000,0.000000,0.000000,0.143714
0.010000,53.804706,29.587691,47.970000,78.000000,0.000000,0.000000,0.145358
0.010000,54.576388,29.701297,48.750000,78.000000,0.000000,0.000000,0.146977
0.010000,55.347887,29.816144,49.530000,78.000000,0.000000,0.000000,0.148572
0.010000,56.119203,29.932211,50.310000,78.000000,0.000000,0.000000,0.150142
0.010000,56.890337,30.049480,51.090000,78.000000,0.000000,0.000000,0.151688
0.010000,57.661291,30.167931,51.870000,78.000000,0.000000,0.000000,0.153208
0.010000,58.432064,30.287545,52.650000,78.000000,0.000000,0.000000,0.154704
0.010000,59.202660,30.408302,53.430000,78.000000,0.000000,0.000000,0.156176
0.010000,59.973078,30.530184,54.210000,78.000000,0.000000,0.000000,0.157623
0.010000,60.743322,30.653171,54.990000,78.000000,0.000000,0.000000,0.159045
0.010000,61.513390,30.777243,55.770000,78.000000,0.000000,0.000000,0.160443
0.010000,62.283286,30.902383,56.550000,78.000000,0.000000,0.000000,0.161816
0.010000,63.053011,31.028570,57.330000,78.000000,0.000000,0.000000,0.163165
