dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.257104,10.019708,0.001000,0.200000,20.000000,2000.000000,6.282231
0.010000,6.257354,10.019708,0.001250,0.024984,-17.501616,-3750.161630,6.282247
0.010000,6.257916,10.019707,0.001812,0.056210,3.122645,2062.426121,6.282282
0.010000,6.258915,10.019706,0.002811,0.099918,4.370767,124.812185,6.282346
0.010000,6.260476,10.019705,0.004372,0.156092,5.617452,124.668538,6.282445
0.010000,6.262723,10.019704,0.006619,0.224710,6.861785,124.433258,6.282588
0.010000,6.265781,10.019702,0.009677,0.305737,8.102618,124.083339,6.282782
0.010000,6.269772,10.019701,0.013668,0.399122,9.338575,123.595679,6.283035
0.010000,6.317872,10.019705,0.061768,4.809989,441.086647,43174.807213,0.000170
0.010000,6.424100,10.019744,0.167996,10.622826,581.283760,14019.711329,0.000566
0.010000,6.552626,10.019847,0.296522,12.852564,222.973747,-35831.001350,0.001044
0.010000,6.705575,10.020050,0.449471,15.294936,244.237178,2126.343087,0.001612
0.010000,6.885062,10.020399,0.628958,17.948691,265.375557,2113.837919,0.002278
0.010000,7.093202,10.020954,0.837099,20.814140,286.544838,2116.928092,0.003049
0.010000,7.332113,10.021787,1.076011,23.891213,307.707367,2116.252966,0.003932
0.010000,7.602844,10.022987,1.346745,27.073417,318.220334,1051.296651,0.004931
0.010000,7.905383,10.024648,1.649288,30.254290,318.087348,-13.298567,0.006045
0.010000,8.239711,10.026874,1.983624,33.433581,317.929088,-15.826047,0.007272
0.010000,8.605812,10.029782,2.349736,36.611227,317.764610,-16.447792,0.008613
0.010000,9.003670,10.033498,2.747612,39.787568,317.634091,-13.051927,0.010065
0.010000,9.433260,10.038158,3.177227,42.961510,317.394198,-23.989236,0.011628
0.010000,9.894559,10.043908,3.638562,46.133446,317.193580,-20.061831,0.013300
0.010000,10.387542,10.050904,4.131595,49.303281,316.983524,-21.005630,0.015080
0.010000,10.912182,10.059312,4.656302,52.470746,316.746495,-23.702843,0.016966
0.010000,11.468448,10.069305,5.212658,55.635581,316.483473,-26.302184,0.018957
0.010000,12.056306,10.081066,5.800633,58.797535,316.195471,-28.800280,0.021051
0.010000,12.674659,10.094763,6.419138,61.850482,305.294682,-1090.078911,0.023242
0.010000,13.321360,10.110534,7.066031,64.689318,283.883580,-2141.110139,0.025520
0.010000,13.994249,10.128505,7.739160,67.312895,262.357722,-2152.585835,0.027878
0.010000,14.691178,10.148786,8.436384,69.722422,240.952655,-2140.506644,0.030305
0.010000,15.409997,10.171472,9.155561,71.917687,219.526488,-2142.616712,0.032792
0.010000,16.148556,10.196640,9.894549,73.898788,198.110142,-2141.634620,0.035331
0.010000,16.904710,10.224345,10.651210,75.666145,176.735710,-2137.443199,0.037913
0.010000,17.676316,10.254625,11.423410,77.219998,155.385327,-2135.038274,0.040529
0.010000,18.461235,10.287494,12.209017,78.560623,134.062461,-2132.286596,0.043170
0.010000,19.257329,10.322945,13.005900,79.688324,112.770054,-2129.240683,0.045830
0.010000,20.062467,10.360948,13.811934,80.603429,91.510553,-2125.950131,0.048499
0.010000,20.874522,10.401451,14.624999,81.306444,70.301444,-2120.910925,0.051169
