dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.826834,166.160359,0.007792,0.779184,38.959184,1947.959211,2.249412
0.020000,184.826895,166.160284,0.007888,0.004816,-38.718364,-3883.877431,2.249418
0.020000,184.827017,166.160133,0.008082,0.009700,0.244168,1948.126636,2.249430
0.020000,184.827201,166.159904,0.008377,0.014717,0.250866,0.334859,2.249449
0.020000,184.776575,166.222680,0.089023,4.032340,200.881164,10031.514900,2.249474
0.020000,184.679064,166.343586,0.244351,7.766394,186.702696,-708.923370,2.249506
0.020000,184.562054,166.488659,0.430731,9.318978,77.629195,-5453.675055,2.249546
0.020000,184.425547,166.657888,0.648153,10.871110,77.606578,-1.130873,2.249594
0.020000,184.269547,166.851264,0.896609,12.422778,77.583406,-1.158572,2.249650
0.020000,184.094056,167.068774,1.176087,13.973905,77.556346,-1.353019,2.249715
0.020000,183.899074,167.310405,1.486576,15.524462,77.527875,-1.423535,2.249790
0.020000,183.684606,167.576143,1.828062,17.074320,77.492879,-1.749789,2.249876
0.020000,183.450653,167.865968,2.200531,18.623432,77.455615,-1.863202,2.249974
0.020000,183.197217,168.179863,2.603966,20.171740,77.415400,-2.010737,2.250084
0.020000,182.924299,168.517805,3.038350,21.719214,77.373669,-2.086591,2.250209
0.020000,182.631900,168.879773,3.503664,23.265702,77.324425,-2.462165,2.250348
0.020000,182.320021,169.265738,3.999888,24.811183,77.274048,-2.518866,2.250504
0.020000,181.988661,169.675674,4.526999,26.355584,77.220070,-2.698894,2.250678
0.020000,181.637819,170.109551,5.084977,27.898900,77.165794,-2.713815,2.250870
0.020000,181.267492,170.567333,5.673795,29.440895,77.099738,-3.302801,2.251084
0.020000,180.877676,171.048986,6.293429,30.981706,77.040557,-2.959040,2.251319
0.020000,180.468365,171.554469,6.943851,32.521078,76.968582,-3.598771,2.251579
0.020000,180.039554,172.083741,7.625032,34.059058,76.899029,-3.477613,2.251865
0.020000,179.591232,172.636755,8.336943,35.595563,76.825243,-3.689335,2.252179
0.020000,179.123388,173.213463,9.079553,37.130502,76.746956,-3.914315,2.252522
0.020000,178.636009,173.813810,9.852829,38.663780,76.663894,-4.153143,2.252897
0.020000,178.129080,174.437740,10.656735,40.195296,76.575766,-4.406392,2.253306
0.020000,177.602580,175.085191,11.491238,41.725178,76.494122,-4.082200,2.253752
0.020000,177.056489,175.756097,12.356299,43.253030,76.392594,-5.076361,2.254236
0.020000,176.490781,176.450388,13.251880,44.779044,76.300688,-4.595344,2.254761
0.020000,175.905428,177.167989,14.177941,46.303068,76.201235,-4.972622,2.255330
0.020000,175.300396,177.908818,15.134440,47.824945,76.093824,-5.370569,2.255945
0.020000,174.675649,178.672789,16.121335,49.344715,75.988500,-5.266187,2.256609
0.020000,174.031146,179.459810,17.138580,50.862249,75.876728,-5.588585,2.257325
0.020000,173.366842,180.269782,18.186126,52.377331,75.754063,-6.133273,2.258096
0.020000,172.682684,181.102602,19.263930,53.890212,75.644090,-5.498619,2.258925
0.020000,171.978618,181.958157,20.371939,55.400413,75.510010,-6.704035,2.259815
0.020000,171.254581,182.836328,21.510101,56.908112,75.384965,-6.252236,2.260769
0.020000,170.510505,183.736989,22.678365,58.413194,75.254118,-6.542369,2.261791
0.020000,169.746316,184.660008,23.876675,59.915534,75.116981,-6.856830,2.262884
0.020000,168.961933,185.605240,25.104975,61.414995,74.973061,-7.195979,2.264052
0.020000,168.157270,186.572533,26.363204,62.911432,74.821860,-7.560091,2.265298
0.020000,167.332229,187.561729,27.651304,64.404989,74.677835,-7.201255,2.266627
0.020000,166.486711,188.572655,28.969208,65.895216,74.511340,-8.324727,2.268043
0.020000,165.620600,189.605134,30.316858,67.382509,74.364664,-7.333821,2.269548
0.020000,164.733780,190.658972,31.694183,68.866236,74.186370,-8.914681,2.271149
0.020000,163.826124,191.733967,33.101114,70.346545,74.015437,-8.546640,2.272848
0.020000,162.897493,192.829904,34.537579,71.823271,73.836306,-8.956558,2.274651
0.020000,161.947739,193.946559,36.003510,73.296534,73.663150,-8.657814,2.276563
0.020000,160.976707,195.083690,37.498826,74.765782,73.462372,-10.038889,2.278587
0.020000,159.984229,196.241044,39.023450,76.231220,73.271933,-9.521939,2.280729
0.020000,158.970130,197.418351,40.577300,77.692499,73.063932,-10.400049,2.282995
0.020000,157.934218,198.615332,42.160296,79.149806,72.865367,-9.928243,2.285389
0.020000,156.876294,199.831686,43.772351,80.602739,72.646648,-10.935979,2.287917
0.020000,155.796145,201.067098,45.413376,82.051273,72.426675,-10.998628,2.290584
0.020000,154.693547,202.321236,47.083282,83.495267,72.199712,-11.348167,2.293397
0.020000,153.568266,203.593745,48.781968,84.934331,71.953212,-12.324973,2.296361
0.020000,152.420049,204.884257,50.509344,86.368782,71.722547,-11.533252,2.299482
0.020000,151.248635,206.192379,52.265303,87.797943,71.458043,-13.225242,2.302768
0.020000,150.053746,207.517702,54.049747,89.222205,71.213079,-12.248183,2.306224
0.020000,148.835091,208.859789,55.862567,90.641020,70.940747,-13.616593,2.309857
0.020000,147.592368,210.218183,57.703653,92.054270,70.662528,-13.910968,2.313674
0.020000,146.325253,211.592404,59.572894,93.462080,70.390500,-13.601367,2.317682
0.020000,145.033416,212.981940,61.470169,94.863743,70.083130,-15.368527,2.321890
0.020000,143.716507,214.386257,63.395359,96.259496,69.787678,-14.772567,2.326304
0.020000,142.374163,215.804792,65.348339,97.648987,69.474552,-15.656307,2.330932
0.020000,141.005999,217.236956,67.328987,99.032383,69.169778,-15.238714,2.335782
0.020000,139.611625,218.682122,69.337166,100.408958,68.828741,-17.051843,2.340864
0.020000,138.190628,220.139634,71.372742,101.778814,68.492821,-16.795992,2.346184
0.020000,136.742581,221.608804,73.435581,103.141941,68.156348,-16.823643,2.351753
0.020000,135.267041,223.088908,75.525539,104.497927,67.799290,-17.852908,2.357579
0.020000,133.763553,224.579182,77.642469,105.846476,67.427456,-18.591735,2.363671
0.020000,132.231641,226.078827,79.786226,107.187838,67.068072,-17.969199,2.370038
0.020000,130.670815,227.587007,81.956659,108.521663,66.691269,-18.840136,2.376691
0.020000,129.080575,229.102836,84.153612,109.847642,66.298976,-19.614658,2.383639
0.020000,127.460402,230.625390,86.376928,111.165794,65.907581,-19.569758,2.390891
0.020000,125.809761,232.153705,88.626452,112.476233,65.521938,-19.282119,2.398459
0.020000,124.128109,233.686762,90.902022,113.778475,65.112099,-20.491948,2.406351
0.020000,122.414888,235.223498,93.203475,115.072640,64.708250,-20.192453,2.414580
0.020000,120.669529,236.762801,95.530647,116.358642,64.300094,-20.407831,2.423153
0.020000,118.891447,238.303511,97.883382,117.636736,63.904692,-19.770097,2.432083
0.020000,117.080054,239.844412,100.261516,118.906689,63.497651,-20.352007,2.441379
0.020000,115.234749,241.384238,102.664891,120.168774,63.104281,-19.668524,2.451052
0.020000,113.354929,242.921665,105.093349,121.422897,62.706158,-19.906140,2.461110
0.020000,111.439981,244.455316,107.546737,122.669386,62.324434,-19.086226,2.471565
0.020000,109.489287,245.983763,110.024912,123.908771,61.969237,-17.759833,2.482424
0.020000,107.508028,247.501128,112.520465,124.777632,43.443085,-926.307601,2.493664
0.020000,105.508197,248.996867,115.017776,124.865538,4.395265,-1952.390987,2.505218
0.020000,103.502138,250.461059,117.501349,124.178632,-34.345310,-1937.028744,2.517011
0.020000,101.500899,251.885614,119.957833,122.824202,-67.721491,-1668.809050,2.528971
0.020000,99.509891,253.267125,122.381195,121.168141,-82.803038,-754.077373,2.541054
0.020000,97.529522,254.605934,124.771649,119.522687,-82.272713,26.516254,2.553249
0.020000,95.560215,255.902420,127.129412,117.888127,-81.728008,27.235243,2.565539
0.020000,93.602408,257.157001,129.454703,116.264591,-81.176777,27.561565,2.577913
0.020000,91.656549,258.370131,131.747748,114.652202,-80.619434,27.867161,2.590355
0.020000,89.723097,259.542300,134.008769,113.051079,-80.056162,28.163564,2.602852
0.020000,87.802519,260.674034,136.237993,111.461196,-79.494134,28.101419,2.615388
0.020000,85.895289,261.765889,138.435645,109.882607,-78.929482,28.232580,2.627950
0.020000,84.001883,262.818456,140.601952,108.315333,-78.363688,28.289739,2.640524
0.020000,82.122784,263.832355,142.737134,106.759117,-77.810782,27.645295,2.653095
0.020000,80.258476,264.808233,144.841411,105.213837,-77.264043,27.336928,2.665649
0.020000,78.409442,265.746768,146.915001,103.679482,-76.717711,27.316624,2.678173
0.020000,76.576164,266.648659,148.958115,102.155737,-76.187277,26.521662,2.690653
0.020000,74.759126,267.514627,150.970956,100.642057,-75.683996,25.164090,2.703076
0.020000,72.958801,268.345419,152.953728,99.138567,-75.174485,25.475540,2.715429
0.020000,71.175664,269.141797,154.906623,97.644737,-74.691490,24.149762,2.727701
0.020000,69.410177,269.904541,156.829829,96.160311,-74.221328,23.508092,2.739878
0.020000,67.662806,270.634445,158.723519,94.684533,-73.788891,21.621848,2.751951
0.020000,65.934006,271.332314,160.587861,93.217094,-73.371939,20.847596,2.763908
0.020000,64.224221,271.998967,162.423016,91.757729,-72.968259,20.183986,2.775740
0.020000,62.533880,272.635233,164.229141,90.306239,-72.574483,19.688792,2.787436
0.020000,60.863414,273.241944,166.006373,88.861631,-72.230403,17.204024,2.798987
0.020000,59.213234,273.819940,167.754850,87.423859,-71.888599,17.090194,2.810386
0.020000,57.583760,274.370058,169.474680,85.991497,-71.618123,13.523789,2.821624
0.020000,55.975373,274.893144,171.165989,84.565450,-71.302356,15.788371,2.832695
0.020000,54.388458,275.390041,172.828881,83.144566,-71.044200,12.907777,2.843591
0.020000,52.823402,275.861583,174.463430,81.727464,-70.855078,9.456115,2.854307
0.020000,51.280542,276.308617,176.069748,80.315910,-70.577719,13.867926,2.864837
0.020000,49.760244,276.731967,177.647889,78.907049,-70.443038,6.734089,2.875177
0.020000,48.262830,277.132464,179.197936,77.502358,-70.234536,10.425090,2.885322
0.020000,46.788632,277.510924,180.719939,76.100154,-70.110219,6.215854,2.895269
0.020000,45.337962,277.868155,182.213946,74.700342,-69.990585,5.981693,2.905015
0.020000,43.911117,278.204961,183.680005,73.302912,-69.871497,5.954403,2.914556
0.020000,42.508368,278.522131,185.118163,71.907936,-69.748829,6.133370,2.923890
0.020000,41.130033,278.820436,186.528409,70.512294,-69.782112,-1.664128,2.933017
0.020000,39.776331,279.100650,187.910808,69.119965,-69.616432,8.283994,2.941933
0.020000,38.447529,279.363521,189.265363,67.727714,-69.612530,0.195101,2.950639
0.020000,37.143873,279.609787,190.592075,66.335606,-69.605415,0.355752,2.959133
0.020000,35.865593,279.840171,191.890950,64.943777,-69.591437,0.698918,2.967415
0.020000,34.612896,280.055384,193.161999,63.552436,-69.567068,1.218446,2.975486
0.020000,33.385980,280.256121,194.405229,62.161488,-69.547407,0.983062,2.983345
