dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,209.347777,185.933406,0.007792,0.779184,38.959184,1947.959211,2.249412
0.020000,209.347717,185.933481,0.007888,0.004816,-38.718364,-3883.877431,2.249418
0.020000,209.347595,185.933632,0.008082,0.009700,0.244168,1948.126636,2.249430
0.020000,209.347410,185.933861,0.008377,0.014717,0.250866,0.334859,2.249449
0.020000,209.296283,185.997258,0.089821,4.072211,202.874705,10131.191983,2.249474
0.020000,209.198133,186.118956,0.246165,7.817238,187.251322,-781.169138,2.249506
0.020000,209.080339,186.265001,0.433795,9.381465,78.211362,-5451.998023,2.249546
0.020000,208.942891,186.435396,0.652716,10.946044,78.228952,0.879506,2.249594
0.020000,208.785782,186.630147,0.902938,12.511098,78.252722,1.188511,2.249650
0.020000,208.609000,186.849257,1.184471,14.076685,78.279322,1.329969,2.249715
0.020000,208.412531,187.092732,1.497330,15.642910,78.311255,1.596658,2.249790
0.020000,208.196361,187.360578,1.841525,17.209777,78.343378,1.606136,2.249876
0.020000,207.960474,187.652799,2.217073,18.777377,78.379988,1.830531,2.249974
0.020000,207.704851,187.969402,2.623988,20.345785,78.420412,2.021210,2.250084
0.020000,207.429472,188.310392,3.062290,21.915108,78.466112,2.285002,2.250209
0.020000,207.134313,188.675777,3.531997,23.485329,78.511057,2.247238,2.250348
0.020000,206.819349,189.065559,4.033128,25.056563,78.561699,2.532112,2.250504
0.020000,206.484554,189.479746,4.565706,26.628874,78.615574,2.693739,2.250678
0.020000,206.129894,189.918343,5.129754,28.202395,78.676046,3.023594,2.250870
0.020000,205.755339,190.381351,5.725294,29.777026,78.731538,2.774595,2.251084
0.020000,205.360851,190.868777,6.352355,31.353045,78.800944,3.470318,2.251319
0.020000,204.946390,191.380622,7.010962,32.930333,78.864410,3.173293,2.251579
0.020000,204.511912,191.916887,7.701143,34.509081,78.937374,3.648194,2.251865
0.020000,204.057371,192.477572,8.422930,36.089344,79.013151,3.788842,2.252179
0.020000,203.582715,193.062678,9.176354,37.671174,79.091524,3.918646,2.252522
0.020000,203.087888,193.672199,9.961446,39.254619,79.172269,4.037250,2.252897
0.020000,202.572832,194.306132,10.778241,40.839723,79.255155,4.144323,2.253306
0.020000,202.037479,194.964470,11.626776,42.426763,79.351999,4.842186,2.253752
0.020000,201.481762,195.647202,12.507086,44.015484,79.436081,4.204072,2.254236
0.020000,200.905604,196.354319,13.419210,45.606234,79.537484,5.070170,2.254761
0.020000,200.308924,197.085805,14.363190,47.199011,79.638859,5.068778,2.255330
0.020000,199.691635,197.841641,15.339067,48.793809,79.739878,5.050914,2.255945
0.020000,199.053644,198.621809,16.346883,50.390827,79.850902,5.551213,2.256609
0.020000,198.394849,199.426282,17.386685,51.990094,79.963360,5.622921,2.257325
0.020000,197.715145,200.255031,18.458516,53.591550,80.072830,5.473469,2.258096
0.020000,197.014414,201.108025,19.562428,55.195622,80.203596,6.538306,2.258925
0.020000,196.292536,201.985224,20.698468,56.801986,80.318159,5.728163,2.259815
0.020000,195.549378,202.886586,21.866688,58.410998,80.450625,6.623305,2.260769
0.020000,194.784799,203.812065,23.067142,60.022718,80.586001,6.768804,2.261791
0.020000,193.998651,204.761606,24.299886,61.637198,80.723982,6.899046,2.262884
0.020000,193.190775,205.735149,25.564976,63.254483,80.864266,7.014185,2.264052
0.020000,192.361001,206.732627,26.862468,64.874614,81.006555,7.114464,2.265298
0.020000,191.509149,207.753969,28.192427,66.497934,81.166018,7.973117,2.266627
0.020000,190.635030,208.799090,29.554911,68.124181,81.312325,7.315389,2.268043
0.020000,189.738437,209.867906,30.949990,69.753970,81.489443,8.855877,2.269548
0.020000,188.819159,210.960316,32.377727,71.386859,81.644483,7.751998,2.271149
0.020000,187.876965,212.076214,33.838192,73.023221,81.818057,8.678688,2.272848
0.020000,186.911617,213.215483,35.331454,74.663109,81.994395,8.816903,2.274651
0.020000,185.922855,214.378000,36.857591,76.306880,82.188584,9.709463,2.276563
0.020000,184.910413,215.563624,38.416675,77.954201,82.366017,8.871647,2.278587
0.020000,183.874004,216.772207,40.008786,79.605532,82.566562,10.027255,2.280729
0.020000,182.813329,218.003586,41.634001,81.260762,82.761530,9.748413,2.282995
0.020000,181.728068,219.257588,43.292408,82.920353,82.979530,10.900009,2.285389
0.020000,180.617887,220.534024,44.984091,84.584154,83.190030,10.524967,2.287917
0.020000,179.482432,221.832691,46.709140,86.252418,83.413213,11.159164,2.290584
0.020000,178.321333,223.153369,48.467646,87.925288,83.643507,11.514712,2.293397
0.020000,177.134201,224.495819,50.259699,89.602650,83.868095,11.229391,2.296361
0.020000,175.920623,225.859791,52.085401,91.285144,84.124704,12.830429,2.299482
0.020000,174.680171,227.245007,53.944849,92.972371,84.361338,11.831733,2.302768
0.020000,173.412388,228.651178,55.838150,94.665068,84.634843,13.675246,2.306224
0.020000,172.116802,230.077988,57.765410,96.362987,84.895989,13.057287,2.309857
0.020000,170.792915,231.525098,59.726737,98.066345,85.167862,13.593636,2.313674
0.020000,169.440203,232.992149,61.722249,99.775620,85.463751,14.794440,2.317682
0.020000,168.058124,234.478749,63.752058,101.490413,85.739658,13.795373,2.321890
0.020000,166.646107,235.984485,65.816284,103.211338,86.046275,15.330835,2.326304
0.020000,165.203557,237.508911,67.915052,104.938383,86.352217,15.297131,2.330932
0.020000,163.729847,239.051556,70.048494,106.672094,86.685584,16.668316,2.335782
0.020000,162.224332,240.611907,72.216735,108.412063,86.998416,15.641632,2.340864
0.020000,160.686337,242.189421,74.419910,110.158766,87.335145,16.836427,2.346184
0.020000,159.115153,243.783520,76.658162,111.912558,87.689607,17.723091,2.351753
0.020000,157.510052,245.393582,78.931629,113.673353,88.039763,17.507830,2.357579
0.020000,155.870274,247.018943,81.240452,115.441179,88.391281,17.575908,2.363671
0.020000,154.195029,248.658897,83.584785,117.216642,88.773163,19.094099,2.370038
0.020000,152.483500,250.312692,85.964779,118.999681,89.151960,18.939847,2.376691
0.020000,150.734843,251.979519,88.380584,120.790250,89.528426,18.823269,2.383639
0.020000,148.948187,253.658521,90.832356,122.588629,89.918987,19.528070,2.390891
0.020000,147.122626,255.348785,93.320260,124.395174,90.327242,20.412739,2.398459
0.020000,145.257240,257.049335,95.844450,126.209530,90.717813,19.528554,2.406351
0.020000,143.351075,258.759133,98.405089,128.031956,91.121268,20.172758,2.414580
0.020000,141.403157,260.477072,101.002338,129.862416,91.523006,20.086898,2.423153
0.020000,139.412487,262.201982,103.636361,131.701182,91.938314,20.765371,2.432083
0.020000,137.378050,263.932612,106.307319,133.547893,92.335566,19.862610,2.441379
0.020000,135.298810,265.667637,109.015372,135.402653,92.738000,20.121726,2.451052
0.020000,133.173723,267.405648,111.760673,137.265036,93.119124,19.056188,2.461110
0.020000,131.001731,269.145150,114.543372,139.134959,93.496167,18.852133,2.471565
0.020000,128.781770,270.884568,117.363621,141.012427,93.873391,18.861230,2.482424
0.020000,126.519406,272.617208,120.213241,142.480992,73.428252,-1022.256986,2.493664
0.020000,124.228121,274.330924,123.074501,143.063013,29.101069,-2216.359131,2.505218
0.020000,121.922003,276.014113,125.929550,142.752445,-15.528419,-2231.474375,2.517011
0.020000,119.613853,277.657128,128.762756,141.660290,-54.607779,-1953.967998,2.528971
0.020000,117.310118,279.255621,131.566748,140.199624,-73.033258,-921.273991,2.541054
0.020000,115.011527,280.809550,134.341313,138.728268,-73.567805,-26.727329,2.553249
0.020000,112.718844,282.318920,137.086235,137.246104,-74.108210,-27.020277,2.565539
0.020000,110.432864,283.783787,139.801294,135.752914,-74.659480,-27.563458,2.577913
0.020000,108.154415,285.204259,142.486265,134.248560,-75.217714,-27.911719,2.590355
0.020000,105.884349,286.580494,145.140925,132.732991,-75.778460,-28.037299,2.602852
0.020000,103.623546,287.912703,147.765047,131.206086,-76.345271,-28.340565,2.615388
0.020000,101.372899,289.201150,150.358405,129.667913,-76.908620,-28.167416,2.627950
0.020000,99.133318,290.446153,152.920777,128.118610,-77.465137,-27.825848,2.640524
0.020000,96.905729,291.648079,155.451939,126.558084,-78.026345,-28.060439,2.653095
0.020000,94.691063,292.807348,157.951669,124.986497,-78.579337,-27.649562,2.665649
0.020000,92.490253,293.924432,160.419754,123.404250,-79.112339,-26.650129,2.678173
0.020000,90.304232,294.999852,162.855983,121.811469,-79.639045,-26.335310,2.690653
0.020000,88.133938,296.034171,165.260145,120.208099,-80.168506,-26.473021,2.703076
0.020000,85.980290,297.028006,167.632044,118.594964,-80.656731,-24.411244,2.715429
0.020000,83.844203,297.982013,169.971488,116.972185,-81.138972,-24.112075,2.727701
0.020000,81.726575,298.896891,172.278293,115.340276,-81.595468,-22.824778,2.739878
0.020000,79.628293,299.773372,174.552278,113.699214,-82.053073,-22.880261,2.751951
0.020000,77.550227,300.612229,176.793269,112.049563,-82.482572,-21.474927,2.763908
0.020000,75.493216,301.414265,179.001109,110.391980,-82.879119,-19.827396,2.775740
0.020000,73.458072,302.180318,181.175653,108.727242,-83.236930,-17.890522,2.787436
0.020000,71.445594,302.911246,183.316757,107.055188,-83.602677,-18.287367,2.798987
0.020000,69.456541,303.607936,185.424294,105.376818,-83.918486,-15.790463,2.810386
0.020000,67.491665,304.271285,187.498123,103.691474,-84.267198,-17.435575,2.821624
0.020000,65.551658,304.902222,189.538149,102.001310,-84.508233,-12.051764,2.832695
0.020000,63.637196,305.501680,191.544269,100.305989,-84.766035,-12.890077,2.843591
0.020000,61.748943,306.070601,193.516367,98.604886,-85.055166,-14.456567,2.854307
0.020000,59.887482,306.609947,195.454390,96.901147,-85.186919,-6.587622,2.864837
0.020000,58.053417,307.120670,197.358236,95.192323,-85.441207,-12.714441,2.875177
0.020000,56.247279,307.603739,199.227859,93.481155,-85.558402,-5.859707,2.885322
0.020000,54.469594,308.060111,201.063190,91.766537,-85.730890,-8.624429,2.895269
0.020000,52.720851,308.490744,202.864175,90.049244,-85.864693,-6.690126,2.905015
0.020000,51.001500,308.896596,204.630777,88.330105,-85.956924,-4.611549,2.914556
0.020000,49.311950,309.278615,206.362977,86.610008,-86.004849,-2.396269,2.923890
