dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.227013,313.895878,0.001000,0.200000,20.000000,2000.000000,0.001102
0.010000,6.227303,313.895878,0.001290,0.029003,-17.099721,-3709.972148,0.001084
0.010000,6.227955,313.895879,0.001943,0.065253,3.624982,2072.470337,0.001043
0.010000,6.229115,313.895880,0.003102,0.115992,5.073950,144.896839,0.000969
0.010000,6.230927,313.895882,0.004915,0.181206,6.521347,144.739637,0.000854
0.010000,6.233536,313.895884,0.007523,0.260867,7.966168,144.482121,0.000688
0.010000,6.237085,313.895886,0.011073,0.354939,9.407158,144.099058,0.000463
0.010000,6.241719,313.895887,0.015706,0.463367,10.842809,143.565061,0.000169
0.010000,6.291858,313.895883,0.065845,5.013862,455.049555,44420.674635,6.282982
0.010000,6.399089,313.895836,0.173077,10.723178,570.931576,11588.202033,6.282523
0.010000,6.528827,313.895715,0.302815,12.973817,225.063864,-34586.771189,6.281968
0.010000,6.683220,313.895476,0.457208,15.439294,246.547705,2148.384089,6.281308
0.010000,6.864399,313.895065,0.638388,18.117978,267.868419,2132.071378,6.280535
0.010000,7.074501,313.894414,0.848490,21.010272,289.229422,2136.100377,6.279639
0.010000,7.315661,313.893436,1.089652,24.116193,310.592055,2136.263248,6.278613
0.010000,7.588939,313.892027,1.362934,27.328180,321.198758,1060.670274,6.277452
0.010000,7.894320,313.890079,1.668321,30.538710,321.052933,-14.582435,6.276158
0.010000,8.231785,313.887467,2.005796,33.747465,320.875567,-17.736621,6.274731
0.010000,8.601315,313.884054,2.375342,36.954578,320.711207,-16.436042,6.273173
0.010000,9.002892,313.879694,2.776943,40.160139,320.556114,-15.509291,6.271484
0.010000,9.436490,313.874226,3.210575,43.363246,320.310761,-24.535305,6.269666
0.010000,9.902082,313.867477,3.676216,46.564025,320.077901,-23.285934,6.267720
0.010000,10.399640,313.859266,4.173841,49.762560,319.853471,-22.442991,6.265649
0.010000,10.929133,313.849398,4.703426,52.958509,319.594920,-25.855136,6.263453
0.010000,11.490526,313.837667,5.264942,56.151545,319.303537,-29.138333,6.261134
0.010000,12.083779,313.823859,5.858355,59.341351,318.980661,-32.287607,6.258695
0.010000,12.707782,313.807776,6.482566,62.421074,307.972253,-1100.840799,6.256142
0.010000,13.360361,313.789256,7.135408,65.284192,286.311828,-2166.042435,6.253486
0.010000,14.039333,313.768150,7.814708,67.930016,264.582356,-2172.947197,6.250736
0.010000,14.742521,313.744327,8.518299,70.359123,242.910725,-2167.163077,6.247905
0.010000,15.467753,313.717675,9.244020,72.572107,221.298400,-2161.232593,6.245002
0.010000,16.212852,313.688104,9.989707,74.568636,199.652969,-2164.543057,6.242038
0.010000,16.975649,313.655546,10.753197,76.349065,178.042861,-2161.010770,6.239023
0.010000,17.753973,313.619957,11.532335,77.913788,156.472250,-2157.061149,6.235966
0.010000,18.545662,313.581320,12.324966,79.263097,134.930893,-2154.135690,6.232879
0.010000,19.348556,313.539642,13.128941,80.397508,113.441161,-2148.973181,6.229769
0.010000,20.160499,313.494957,13.942113,81.317120,91.961223,-2147.993847,6.226647
0.010000,20.979338,313.447326,14.762336,82.022305,70.518501,-2144.272127,6.223522
0.010000,21.802927,313.396839,15.587471,82.513547,49.124206,-2139.429516,6.220402
0.010000,22.629127,313.343609,16.415384,82.791294,27.774701,-2134.950481,6.217296
0.010000,23.455806,313.287779,17.243946,82.856237,6.494273,-2128.042843,6.214213
0.010000,24.281892,313.229441,18.072090,82.814346,-4.189139,-1068.341230,6.211156
0.010000,25.107377,313.168620,18.899813,82.772270,-4.207593,-1.845322,6.208126
0.010000,25.932255,313.105342,19.727113,82.730072,-4.219798,-1.220587,6.205123
0.010000,26.756518,313.039631,20.553992,82.687827,-4.224492,-0.469401,6.202147
0.010000,27.580158,312.971513,21.380444,82.645204,-4.262259,-3.776667,6.199197
0.010000,28.403168,312.901014,22.206468,82.602427,-4.277749,-1.548975,6.196275
0.010000,29.225543,312.828159,23.032064,82.559571,-4.285568,-0.781876,6.193380
0.010000,30.047277,312.752975,23.857229,82.516589,-4.298187,-1.261911,6.190512
0.010000,30.868362,312.675485,24.681963,82.473354,-4.323499,-2.531268,6.187672
0.010000,31.688793,312.595718,25.506263,82.429992,-4.336242,-1.274234,6.184859
0.010000,32.508566,312.513698,26.330129,82.386572,-4.342030,-0.578852,6.182074
0.010000,33.327675,312.429450,27.153559,82.342994,-4.357770,-1.573988,6.179317
0.010000,34.146114,312.343002,27.976551,82.299257,-4.373734,-1.596353,6.176587
0.010000,34.963880,312.254378,28.799105,82.255417,-4.383953,-1.021940,6.173885
0.010000,35.780969,312.163606,29.621220,82.211517,-4.390031,-0.607807,6.171211
0.010000,36.597375,312.070709,30.442895,82.167475,-4.404154,-1.412284,6.168565
0.010000,37.413096,311.975716,31.264129,82.123336,-4.413868,-0.971423,6.165947
0.010000,38.228128,311.878651,32.084920,82.079119,-4.421793,-0.792515,6.163357
0.010000,39.042467,311.779540,32.905268,82.034816,-4.430232,-0.843847,6.160795
0.010000,39.856110,311.678410,33.725172,81.990431,-4.438498,-0.826602,6.158262
0.010000,40.669056,311.575285,34.544632,81.945983,-4.444825,-0.632742,6.155756
0.010000,41.481300,311.470194,35.363647,81.901466,-4.451663,-0.683765,6.153279
0.010000,42.292840,311.363160,36.182215,81.856854,-4.461213,-0.954978,6.150830
0.010000,43.103676,311.254210,37.000338,81.812223,-4.463096,-0.188281,6.148410
0.010000,43.913804,311.143370,37.818013,81.767548,-4.467528,-0.443277,6.146018
0.010000,44.723223,311.030665,38.635241,81.722795,-4.475267,-0.773828,6.143654
0.010000,45.531931,310.916122,39.452021,81.677977,-4.481862,-0.659551,6.141319
0.010000,46.339928,310.799766,40.268352,81.633175,-4.480127,0.173493,6.139012
0.010000,47.147212,310.681623,41.084236,81.588347,-4.482889,-0.276227,6.136734
0.010000,47.953783,310.561719,41.899670,81.543417,-4.492996,-1.010663,6.134484
0.010000,48.759639,310.440079,42.714655,81.498480,-4.493625,-0.062855,6.132263
0.010000,49.564781,310.316729,43.529191,81.453575,-4.490491,0.313348,6.130070
0.010000,50.369208,310.191693,44.343277,81.408657,-4.491799,-0.130793,6.127906
0.010000,51.172919,310.064999,45.156913,81.363605,-4.505222,-1.342307,6.125770
0.010000,51.975916,309.936671,45.970100,81.318626,-4.497926,0.729628,6.123663
0.010000,52.778199,309.806735,46.782836,81.273675,-4.495056,0.286953,6.121584
0.010000,53.579768,309.675216,47.595124,81.228724,-4.495117,-0.006109,6.119534
0.010000,54.380623,309.542139,48.406960,81.183601,-4.512319,-1.720118,6.117513
0.010000,55.180765,309.407530,49.218346,81.138640,-4.496129,1.618925,6.115520
0.010000,55.980197,309.271413,50.029283,81.093693,-4.494656,0.147322,6.113556
0.010000,56.778919,309.133814,50.839770,81.048734,-4.495918,-0.126138,6.111620
0.010000,57.576930,308.994758,51.649807,81.003632,-4.510179,-1.426129,6.109713
0.010000,58.374235,308.854270,52.459394,80.958715,-4.491756,1.842266,6.107835
0.010000,59.170834,308.712374,53.268532,80.913814,-4.490083,0.167309,6.105985
0.010000,59.966729,308.569096,54.077221,80.868879,-4.493503,-0.342022,6.104163
0.010000,60.761921,308.424461,54.885459,80.823857,-4.502179,-0.867615,6.102370
0.010000,61.556413,308.278492,55.693249,80.779012,-4.484487,1.769229,6.100606
0.010000,62.350208,308.131214,56.500591,80.734191,-4.482085,0.240243,6.098870
0.010000,63.143307,307.982653,57.307484,80.689315,-4.487583,-0.549804,6.097162
0.010000,63.935712,307.832832,58.113928,80.644407,-4.490831,-0.324861,6.095483
0.010000,64.727427,307.681776,58.919925,80.599664,-4.474327,1.650393,6.093833
0.010000,65.518455,307.529510,59.725475,80.554950,-4.471361,0.296621,6.092210
0.010000,66.308797,307.376057,60.530576,80.510164,-4.478606,-0.724431,6.090617
0.010000,67.098456,307.221442,61.335230,80.465393,-4.477101,0.150486,6.089051
0.010000,67.887437,307.065688,62.139438,80.420774,-4.461940,1.516034,6.087514
0.010000,68.675743,306.908821,62.943200,80.376188,-4.458564,0.337678,6.086006
0.010000,69.463375,306.750863,63.746515,80.331518,-4.467053,-0.848985,6.084525
0.010000,70.250338,306.591839,64.549384,80.286899,-4.461821,0.523207,6.083073
0.010000,71.036635,306.431772,65.351808,80.242420,-4.447939,1.388203,6.081650
0.010000,71.822270,306.270686,66.153788,80.197977,-4.444293,0.364652,6.080254
0.010000,72.607246,306.108605,66.955322,80.153443,-4.453435,-0.914246,6.078887
0.010000,73.391567,305.945553,67.756412,80.108986,-4.445699,0.773669,6.077548
0.010000,74.175237,305.781552,68.557059,80.064657,-4.432888,1.281075,6.076237
0.010000,74.958260,305.616627,69.357262,80.020366,-4.429100,0.378771,6.074954
0.010000,75.740639,305.450800,70.157022,79.975983,-4.438280,-0.917960,6.073699
0.010000,76.522379,305.284095,70.956339,79.931690,-4.429316,0.896372,6.072473
0.010000,77.303484,305.116535,71.755214,79.887517,-4.417300,1.201619,6.071274
0.010000,78.083959,304.948144,72.553648,79.843382,-4.413487,0.381243,6.070104
0.010000,78.863806,304.778943,73.351640,79.799161,-4.422126,-0.863885,6.068962
0.010000,79.643031,304.608957,74.149190,79.755029,-4.413146,0.898065,6.067847
0.010000,80.421638,304.438208,74.946300,79.711013,-4.401640,1.150505,6.066761
0.010000,81.199633,304.266718,75.742971,79.667034,-4.397908,0.373244,6.065703
0.010000,81.977017,304.094512,76.539200,79.622979,-4.405515,-0.760695,6.064672
0.010000,82.753797,303.921611,77.334990,79.579003,-4.397559,0.795557,6.063670
0.010000,83.529977,303.748037,78.130342,79.535140,-4.386328,1.123171,6.062695
0.010000,84.305563,303.573814,78.925255,79.491312,-4.382769,0.355920,6.061748
0.010000,85.080558,303.398964,79.719729,79.447422,-4.388977,-0.620805,6.060829
0.010000,85.854967,303.223510,80.513765,79.403594,-4.382843,0.613358,6.059938
0.010000,86.628795,303.047473,81.307364,79.359877,-4.371733,1.110983,6.059075
0.010000,87.402047,302.870877,82.100526,79.316192,-4.368429,0.330375,6.058239
0.010000,88.174728,302.693742,82.893250,79.272462,-4.373021,-0.459158,6.057431
0.010000,88.946842,302.516092,83.685538,79.228770,-4.369208,0.381257,6.056651
0.010000,89.718396,302.337949,84.477390,79.185188,-4.358184,1.102446,6.055898
0.010000,90.489393,302.159334,85.268806,79.141636,-4.355207,0.297680,6.055173
0.010000,91.259838,301.980269,86.059787,79.098055,-4.358128,-0.292037,6.054476
0.010000,92.029737,301.800777,86.850332,79.054487,-4.356808,0.131925,6.053807
0.010000,92.799094,301.620879,87.640442,79.011027,-4.345964,1.084407,6.053165
0.010000,93.567916,301.440597,88.430118,78.967593,-4.343376,0.258866,6.052550
0.010000,94.336206,301.259953,89.219359,78.924146,-4.344735,-0.135929,6.051964
0.010000,95.103969,301.078968,90.008166,78.880689,-4.345748,-0.101365,6.051405
0.010000,95.871212,300.897664,90.796540,78.837335,-4.335316,1.043204,6.050873
0.010000,96.637939,300.716063,91.584480,78.794004,-4.333167,0.214932,6.050369
0.010000,97.404155,300.534186,92.371986,78.750671,-4.333232,-0.006485,6.049892
0.010000,98.169866,300.352054,93.159059,78.707310,-4.336100,-0.286841,6.049443
0.010000,98.935076,300.169690,93.945700,78.664046,-4.326443,0.965735,6.049021
0.010000,99.699791,299.987114,94.731908,78.620798,-4.324775,0.166847,6.048627
0.010000,100.464016,299.804347,95.517683,78.577559,-4.323951,0.082407,6.048261
0.010000,101.227755,299.621412,96.303026,78.534280,-4.327912,-0.396103,6.047921
0.010000,101.991015,299.438329,97.087937,78.491084,-4.319507,0.840421,6.047610
0.010000,102.753800,299.255119,97.872416,78.447901,-4.318352,0.115554,6.047325
0.010000,103.516116,299.071804,98.656463,78.404728,-4.317330,0.102134,6.047068
0.010000,104.277968,298.888404,99.440079,78.361519,-4.320870,-0.353907,6.046839
0.010000,105.039360,298.704941,100.223262,78.318371,-4.314807,0.606214,6.046637
0.010000,105.800298,298.521436,101.006015,78.275231,-4.314015,0.079250,6.046462
0.010000,106.560787,298.337909,101.788336,78.232095,-4.313533,0.048230,6.046314
0.010000,107.320833,298.154382,102.570225,78.188945,-4.315074,-0.154173,6.046194
0.010000,108.080439,297.970875,103.351683,78.145821,-4.312394,0.268005,6.046102
0.010000,108.839612,297.787410,104.132710,78.102702,-4.311843,0.055138,6.046037
0.010000,109.598357,297.604007,104.913306,78.059583,-4.311911,-0.006818,6.045999
0.010000,110.356678,297.420687,105.693471,78.016462,-4.312091,-0.017977,6.045988
0.010000,111.114580,297.237471,106.473204,77.973347,-4.311549,0.054172,6.046005
0.010000,111.872069,297.054379,107.252506,77.930228,-4.311878,-0.032906,6.046050
0.010000,112.629149,296.871433,108.031377,77.887103,-4.312499,-0.062102,6.046121
0.010000,113.385826,296.688652,108.809817,77.843983,-4.311976,0.052303,6.046220
0.010000,114.142104,296.506058,109.587826,77.800861,-4.312271,-0.029525,6.046347
0.010000,114.897989,296.323671,110.365403,77.757719,-4.314127,-0.185525,6.046501
0.010000,115.653484,296.141512,111.142549,77.714566,-4.315294,-0.116710,6.046682
0.010000,116.408596,295.959601,111.919263,77.671419,-4.314711,0.058308,6.046891
0.010000,117.163328,295.777959,112.695546,77.628274,-4.314564,0.014657,6.047127
0.010000,117.917686,295.596606,113.471397,77.585088,-4.318558,-0.399351,6.047390
0.010000,118.671674,295.415564,114.246815,77.541885,-4.320255,-0.169723,6.047681
0.010000,119.425297,295.234852,115.021802,77.498683,-4.320199,0.005566,6.047999
0.010000,120.178560,295.054490,115.796357,77.455499,-4.318432,0.176685,6.048345
