dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.258703,282.395894,0.001000,0.200000,20.000000,2000.000000,0.000910
0.010000,6.258464,282.395894,0.001238,0.023840,-17.616041,-3761.604095,0.000894
0.010000,6.257928,282.395894,0.001775,0.053636,2.979623,2059.566391,0.000860
0.010000,6.256975,282.395893,0.002728,0.095341,4.170561,119.093785,0.000800
0.010000,6.255485,282.395892,0.004218,0.148942,5.360100,118.953943,0.000705
0.010000,6.253341,282.395890,0.006362,0.214416,6.547349,118.724903,0.000569
0.010000,6.250424,282.395889,0.009279,0.291728,7.731192,118.384280,0.000384
0.010000,6.246616,282.395888,0.013087,0.380831,8.910288,117.909609,0.000142
0.010000,6.285157,282.395884,0.051629,3.854146,347.331503,33842.121463,6.283022
0.010000,6.379216,282.395851,0.145688,9.405927,555.178102,20784.659916,6.282644
0.010000,6.493033,282.395764,0.259505,11.381647,197.571996,-35760.610587,6.282188
0.010000,6.628497,282.395592,0.394969,13.546413,216.476600,1890.460345,6.281646
0.010000,6.787492,282.395297,0.553964,15.899532,235.311960,1883.536087,6.281011
0.010000,6.971907,282.394828,0.738379,18.441536,254.200345,1888.838424,6.280276
0.010000,7.183633,282.394123,0.950107,21.172733,273.119765,1891.942056,6.279433
0.010000,7.423622,282.393108,1.190098,23.999161,282.642756,952.299115,6.278480
0.010000,7.691886,282.391703,1.458366,26.826804,282.764282,12.152569,6.277418
0.010000,7.988438,282.389819,1.754924,29.655739,282.893555,12.927292,6.276247
0.010000,8.313291,282.387357,2.079786,32.486216,283.047631,15.407629,6.274968
0.010000,8.666464,282.384210,2.432973,35.318718,283.250202,20.257112,6.273583
0.010000,9.047971,282.380262,2.814501,38.152761,283.404290,15.408729,6.272093
0.010000,9.457831,282.375389,3.224389,40.988872,283.611184,20.689450,6.270499
0.010000,9.896064,282.369456,3.662662,43.827289,283.841706,23.052193,6.268802
0.010000,10.362690,282.362324,4.129343,46.668096,284.080659,23.895287,6.267004
0.010000,10.857731,282.353843,4.624457,49.511388,284.329193,24.853453,6.265106
0.010000,11.381209,282.343854,5.148030,52.357273,284.588490,25.929622,6.263111
0.010000,11.932201,282.332216,5.699145,55.111497,275.422366,-916.612379,6.261023
0.010000,12.508848,282.318807,6.275948,57.680285,256.878810,-1854.355619,6.258851
0.010000,13.109278,282.303518,6.876573,60.062503,238.221848,-1865.696198,6.256605
0.010000,13.731626,282.286251,7.499160,62.258761,219.625795,-1859.605276,6.254294
0.010000,14.374023,282.266924,8.141847,64.268698,200.993738,-1863.205683,6.251925
0.010000,15.034593,282.245466,8.802766,66.091885,182.318637,-1867.510149,6.249507
0.010000,15.711463,282.221828,9.480049,67.728258,163.637283,-1868.135388,6.247048
0.010000,16.402755,282.195973,10.171824,69.177533,144.927570,-1870.971276,6.244558
0.010000,17.106589,282.167884,10.876218,70.439417,126.188316,-1873.925431,6.242043
0.010000,17.821082,282.137565,11.591354,71.513600,107.418299,-1877.001633,6.239512
0.010000,18.544349,282.105036,12.315352,72.399781,88.618135,-1880.016427,6.236973
0.010000,19.274502,282.070338,13.046329,73.097714,69.793347,-1882.478817,6.234431
0.010000,20.009649,282.033533,13.782397,73.606826,50.911194,-1888.215251,6.231896
0.010000,20.747897,281.994701,14.521666,73.926884,32.005792,-1890.540263,6.229374
0.010000,21.487350,281.953941,15.262242,74.057529,13.064482,-1894.131012,6.226870
0.010000,22.227058,281.911319,16.003176,74.093488,3.595911,-946.857096,6.224390
0.010000,22.967018,281.866848,16.744471,74.129498,3.600982,0.507171,6.221933
0.010000,23.707227,281.820546,17.486127,74.165566,3.606779,0.579664,6.219498
0.010000,24.447682,281.772426,18.228144,74.201732,3.616576,0.979732,6.217087
0.010000,25.188382,281.722506,18.970525,74.238028,3.629652,1.307601,6.214698
0.010000,25.929324,281.670799,19.713269,74.274403,3.637447,0.779410,6.212333
0.010000,26.670506,281.617322,20.456377,74.310817,3.641441,0.399488,6.209990
0.010000,27.411925,281.562091,21.199850,74.347312,3.649534,0.809234,6.207671
0.010000,28.153579,281.505121,21.943689,74.383896,3.658410,0.887604,6.205375
0.010000,28.895466,281.446428,22.687895,74.420556,3.665992,0.758233,6.203102
0.010000,29.637585,281.386028,23.432467,74.457253,3.669674,0.368144,6.200853
0.010000,30.379933,281.323937,24.177407,74.494015,3.676196,0.652254,6.198627
0.010000,31.122508,281.260171,24.922716,74.530839,3.682383,0.618677,6.196424
0.010000,31.865310,281.194745,25.668393,74.567714,3.687513,0.512993,6.194245
0.010000,32.608335,281.127677,26.414439,74.604634,3.692019,0.450603,6.192089
0.010000,33.351584,281.058982,27.160855,74.641605,3.697109,0.508997,6.189957
0.010000,34.095053,280.988675,27.907641,74.678624,3.701846,0.473730,6.187848
0.010000,34.838742,280.916775,28.654798,74.715652,3.702859,0.101339,6.185763
0.010000,35.582649,280.843296,29.402325,74.752742,3.708997,0.613724,6.183701
0.010000,36.326774,280.768255,30.150224,74.789870,3.712819,0.382212,6.181663
0.010000,37.071114,280.691668,30.898494,74.827033,3.716296,0.347687,6.179649
0.010000,37.815669,280.613551,31.647136,74.864178,3.714497,-0.179845,6.177658
0.010000,38.560438,280.533922,32.396150,74.901381,3.720279,0.578171,6.175690
0.010000,39.305420,280.452796,33.145536,74.938620,3.723868,0.358939,6.173747
0.010000,40.050615,280.370190,33.895295,74.975882,3.726220,0.235198,6.171826
0.010000,40.796020,280.286121,34.645426,75.013111,3.722924,-0.329675,6.169930
0.010000,41.541636,280.200604,35.395930,75.050376,3.726484,0.356017,6.168057
0.010000,42.287462,280.113657,36.146807,75.087684,3.730789,0.430523,6.166208
0.010000,43.033497,280.025296,36.898057,75.125005,3.732148,0.135950,6.164383
0.010000,43.779741,279.935537,37.649680,75.162291,3.728540,-0.360889,6.162581
0.010000,44.526194,279.844398,38.401675,75.199573,3.728242,-0.029716,6.160803
0.010000,45.272855,279.751894,39.154044,75.236914,3.734097,0.585468,6.159049
0.010000,46.019724,279.658043,39.906787,75.274260,3.734592,0.049518,6.157318
0.010000,46.766800,279.562862,40.659903,75.311578,3.731735,-0.285684,6.155611
0.010000,47.514084,279.466366,41.413391,75.348839,3.726158,-0.557713,6.153928
0.010000,48.261576,279.368573,42.167253,75.386182,3.734290,0.813164,6.152268
0.010000,49.009276,279.269500,42.921488,75.423522,3.734044,-0.024613,6.150633
0.010000,49.757184,279.169163,43.676097,75.460851,3.732877,-0.116698,6.149020
0.010000,50.505300,279.067579,44.431077,75.498059,3.720814,-1.206244,6.147432
0.010000,51.253623,278.964764,45.186431,75.535378,3.731842,1.102806,6.145867
0.010000,52.002156,278.860737,45.942158,75.572688,3.730972,-0.087029,6.144326
0.010000,52.750898,278.755512,46.698258,75.609987,3.729951,-0.102073,6.142808
0.010000,53.499849,278.649109,47.454730,75.647162,3.717466,-1.248530,6.141315
0.010000,54.249011,278.541542,48.211574,75.684410,3.724861,0.739491,6.139844
0.010000,54.998383,278.432830,48.968790,75.721669,3.725821,0.096015,6.138398
0.010000,55.747967,278.322988,49.726379,75.758912,3.724314,-0.150675,6.136975
0.010000,56.497762,278.212035,50.484340,75.796057,3.714541,-0.977362,6.135576
0.010000,57.247771,278.099986,51.242672,75.833205,3.714834,0.029267,6.134200
0.010000,57.997993,277.986859,52.001376,75.870395,3.719008,0.417445,6.132848
0.010000,58.748431,277.872671,52.760452,75.907567,3.717117,-0.189053,6.131519
0.010000,59.499085,277.757438,53.519898,75.944674,3.710775,-0.634249,6.130214
0.010000,60.249955,277.641178,54.279715,75.981705,3.703060,-0.771522,6.128933
0.010000,61.001043,277.523908,55.039904,76.018814,3.710922,0.786188,6.127675
0.010000,61.752351,277.405644,55.800463,76.055902,3.708742,-0.217918,6.126440
0.010000,62.503880,277.286404,56.561392,76.092965,3.706344,-0.239883,6.125230
0.010000,63.255630,277.166204,57.322691,76.129866,3.690086,-1.625793,6.124042
0.010000,64.007603,277.045061,58.084360,76.166885,3.701923,1.183711,6.122878
0.010000,64.759801,276.922993,58.846399,76.203881,3.699543,-0.237988,6.121738
0.010000,65.512227,276.800017,59.608807,76.240852,3.697117,-0.242585,6.120621
0.010000,66.264879,276.676149,60.371584,76.277701,3.684969,-1.214850,6.119528
0.010000,67.017761,276.551407,61.134730,76.314582,3.688080,0.311186,6.118457
0.010000,67.770874,276.425807,61.898245,76.351481,3.689844,0.176319,6.117411
0.010000,68.524220,276.299367,62.662128,76.388354,3.687318,-0.252603,6.116388
0.010000,69.277801,276.172103,63.426380,76.425154,3.679967,-0.735077,6.115388
0.010000,70.031619,276.044034,64.190999,76.461892,3.673825,-0.614178,6.114411
0.010000,70.785674,275.915175,64.955986,76.498691,3.679941,0.611567,6.113458
0.010000,71.539971,275.785544,65.721340,76.535465,3.677386,-0.255446,6.112528
0.010000,72.294511,275.655158,66.487062,76.572213,3.674812,-0.257416,6.111621
0.010000,73.049294,275.524033,67.253151,76.608811,3.659811,-1.500110,6.110738
0.010000,73.804324,275.392188,68.019606,76.645512,3.670102,1.029118,6.109878
0.010000,74.559603,275.259640,68.786428,76.682188,3.667584,-0.251817,6.109041
0.010000,75.315133,275.126404,69.553616,76.718839,3.665078,-0.250607,6.108228
0.010000,76.070917,274.992499,70.321170,76.755393,3.655384,-0.969349,6.107438
0.010000,76.826955,274.857941,71.089089,76.791954,3.656132,0.074777,6.106671
0.010000,77.583252,274.722748,71.857375,76.828536,3.658144,0.201206,6.105927
0.010000,78.339810,274.586936,72.626026,76.865093,3.655746,-0.239785,6.105206
0.010000,79.096631,274.450524,73.395042,76.901603,3.651002,-0.474474,6.104509
0.010000,79.853716,274.313527,74.164422,76.938035,3.643236,-0.776538,6.103835
0.010000,80.611069,274.175964,74.934167,76.974528,3.649274,0.603739,6.103184
0.010000,81.368693,274.037851,75.704277,77.010998,3.647033,-0.224018,6.102556
0.010000,82.126591,273.899205,76.474752,77.047447,3.644835,-0.219849,6.101951
0.010000,82.884763,273.760045,77.245590,77.083800,3.635343,-0.949165,6.101369
0.010000,83.643214,273.620386,78.016792,77.120194,3.639401,0.405805,6.100811
0.010000,84.401946,273.480246,78.788358,77.156585,3.639113,-0.028814,6.100275
0.010000,85.160963,273.339642,79.560287,77.192957,3.637126,-0.198744,6.099763
0.010000,85.920266,273.198592,80.332580,77.229279,3.632237,-0.488856,6.099273
0.010000,86.679858,273.057112,81.105236,77.265569,3.628973,-0.326402,6.098807
0.010000,87.439743,272.915221,81.878255,77.301890,3.632135,0.316136,6.098364
0.010000,88.199923,272.772934,82.651637,77.338194,3.630393,-0.174126,6.097944
0.010000,88.960402,272.630270,83.425381,77.374481,3.628715,-0.167813,6.097546
0.010000,89.721182,272.487246,84.199488,77.410696,3.621454,-0.726081,6.097172
0.010000,90.482266,272.343879,84.973958,77.446954,3.625838,0.438380,6.096821
0.010000,91.243657,272.200186,85.748790,77.483202,3.624756,-0.108228,6.096493
0.010000,92.005359,272.056185,86.523984,77.519435,3.623360,-0.139593,6.096188
0.010000,92.767374,271.911892,87.299541,77.555634,3.619830,-0.353020,6.095906
0.010000,93.529706,271.767326,88.075459,77.591823,3.618965,-0.086467,6.095647
0.010000,94.292358,271.622504,88.851739,77.628026,3.620308,0.134318,6.095410
0.010000,95.055333,271.477443,89.628381,77.664218,3.619216,-0.109204,6.095197
0.010000,95.818633,271.332160,90.405385,77.700400,3.618128,-0.108832,6.095007
0.010000,96.582263,271.186673,91.182751,77.736547,3.614682,-0.344618,6.094840
0.010000,97.346226,271.041000,91.960478,77.772718,3.617122,0.244032,6.094695
0.010000,98.110524,270.895157,92.738567,77.808881,3.616350,-0.077220,6.094574
0.010000,98.875162,270.749162,93.517017,77.845038,3.615658,-0.069152,6.094476
0.010000,99.640142,270.603034,94.295829,77.881182,3.614433,-0.122531,6.094400
0.010000,100.405467,270.456788,95.075002,77.917328,3.614597,0.016444,6.094348
0.010000,101.171142,270.310443,95.854537,77.953476,3.614804,0.020669,6.094318
0.010000,101.937169,270.164016,96.634433,77.989621,3.614445,-0.035902,6.094312
0.010000,102.703552,270.017526,97.414691,78.025763,3.614211,-0.023367,6.094328
0.010000,103.470293,269.870989,98.195310,78.061911,3.614806,0.059436,6.094367
0.010000,104.237398,269.724422,98.976290,78.098057,3.614600,-0.020559,6.094430
0.010000,105.004868,269.577845,99.757632,78.134203,3.614577,-0.002312,6.094515
0.010000,105.772707,269.431274,100.539336,78.170349,3.614638,0.006107,6.094623
0.010000,106.540919,269.284727,101.321401,78.206512,3.616280,0.164176,6.094754
0.010000,107.309508,269.138222,102.103828,78.242677,3.616516,0.023608,6.094908
0.010000,108.078475,268.991777,102.886616,78.278837,3.616048,-0.046824,6.095085
0.010000,108.847826,268.845409,103.669766,78.315002,3.616442,0.039415,6.095285
0.010000,109.617563,268.699136,104.453278,78.351177,3.617537,0.109524,6.095508
0.010000,110.387690,268.552976,105.237152,78.387390,3.621244,0.370731,6.095754
0.010000,111.158210,268.406947,106.021388,78.423578,3.618829,-0.241579,6.096023
0.010000,111.929127,268.261067,106.805985,78.459773,3.619547,0.071830,6.096315
0.010000,112.700443,268.115353,107.590945,78.495977,3.620346,0.079913,6.096630
0.010000,113.472164,267.969824,108.376267,78.532230,3.625302,0.495628,6.096968
0.010000,114.244291,267.824498,109.161952,78.568475,3.624532,-0.077018,6.097329
0.010000,115.016829,267.679392,109.947999,78.604714,3.623897,-0.063488,6.097713
0.010000,115.789780,267.534525,110.734409,78.640964,3.625002,0.110505,6.098120
0.010000,116.563149,267.389915,111.521181,78.677244,3.628004,0.300168,6.098550
0.010000,117.336938,267.245580,112.308317,78.713578,3.633337,0.533311,6.099003
0.010000,118.111151,267.101538,113.095816,78.749872,3.629415,-0.392264,6.099479
0.010000,118.885792,266.957807,113.883678,78.786180,3.630804,0.138962,6.099978
