dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,54.981987,220.869570,0.007697,0.769737,38.486869,1924.343459,0.001119
0.020000,54.985451,220.869573,0.011162,0.173233,-29.825198,-3415.603342,0.000899
0.020000,54.992378,220.869578,0.018088,0.346322,8.654431,1923.981451,0.000460
0.020000,55.030743,220.869577,0.056454,1.918269,78.597353,3497.146088,6.282986
0.020000,55.167731,220.869489,0.193442,6.849398,246.556426,8397.953665,6.282107
0.020000,55.338950,220.869211,0.364661,8.560977,85.578962,-8048.873218,6.281011
0.020000,55.544382,220.868629,0.570094,10.271641,85.533200,-2.288082,6.279697
0.020000,55.784021,220.867610,0.809735,11.982036,85.519766,-0.671737,6.278166
0.020000,56.057836,220.865996,1.083555,13.690983,85.447354,-3.620584,6.276420
0.020000,56.365812,220.863610,1.391540,15.399280,85.414835,-1.625944,6.274459
0.020000,56.707919,220.860253,1.733663,17.106159,85.343941,-3.544730,6.272286
0.020000,57.084129,220.855703,2.109900,18.811858,85.284952,-2.949435,6.269901
0.020000,57.494405,220.849721,2.520220,20.515995,85.206851,-3.905025,6.267308
0.020000,57.938707,220.842043,2.964589,22.218422,85.121363,-4.274407,6.264508
0.020000,58.416996,220.832390,3.442975,23.919320,85.044887,-3.823817,6.261502
0.020000,58.929216,220.820459,3.955335,25.617968,84.932394,-5.624666,6.258295
0.020000,59.475311,220.805932,4.501622,27.314394,84.821300,-5.554687,6.254888
0.020000,60.055217,220.788472,5.081791,29.008411,84.700886,-6.020675,6.251285
0.020000,60.668864,220.767723,5.695789,30.699921,84.575485,-6.270087,6.247489
0.020000,61.316177,220.743314,6.343562,32.388629,84.435397,-7.004388,6.243504
0.020000,61.997067,220.714857,7.025046,34.074232,84.280146,-7.762519,6.239332
0.020000,62.711439,220.681950,7.740176,35.756480,84.112419,-8.386383,6.234980
0.020000,63.459190,220.644177,8.488881,37.435231,83.937507,-8.745596,6.230451
0.020000,64.240205,220.601109,9.271082,39.110066,83.741752,-9.787755,6.225749
0.020000,65.054370,220.552304,10.086709,40.781336,83.563542,-8.910475,6.220881
0.020000,65.901542,220.497311,10.935663,42.447740,83.320204,-12.166912,6.215851
