dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.515570,223.735542,0.007777,0.777736,38.886795,1944.339746,6.276425
0.020000,55.511186,223.735571,0.012161,0.219176,-27.927994,-3340.739440,6.276703
0.020000,55.502418,223.735625,0.020929,0.438429,10.962633,1944.531323,6.277260
0.020000,55.489262,223.735698,0.034086,0.657834,10.970260,0.381382,6.278095
0.020000,55.590303,223.735243,0.135129,5.052134,219.714983,10437.236120,6.279210
0.020000,55.723877,223.734805,0.268703,6.678708,81.328717,-6919.313272,6.280605
0.020000,55.884123,223.734526,0.428949,8.012313,66.680281,-732.421826,6.282282
0.020000,56.071024,223.734540,0.615851,9.345091,66.638851,-2.071490,0.001056
0.020000,56.284547,223.735005,0.829374,10.676159,66.553412,-4.271942,0.003301
0.020000,56.524647,223.736101,1.069476,12.005106,66.447381,-5.301530,0.005832
0.020000,56.791340,223.738033,1.336176,13.334986,66.494001,2.331001,0.008652
0.020000,57.084531,223.741025,1.629383,14.660351,66.268224,-11.288871,0.011762
0.020000,57.404193,223.745329,1.949074,15.984551,66.210016,-2.910376,0.015167
0.020000,57.750286,223.751218,2.295217,17.307162,66.130529,-3.974398,0.018867
0.020000,58.122752,223.758991,2.667764,18.627332,66.008507,-6.101069,0.022866
0.020000,58.521512,223.768968,3.066649,19.944244,65.845611,-8.144824,0.027168
0.020000,58.946538,223.781497,3.491859,21.260509,65.813243,-1.618358,0.031774
0.020000,59.397714,223.796947,3.943300,22.572046,65.576841,-11.820127,0.036688
0.020000,59.874997,223.815713,4.420952,23.882605,65.527934,-2.445342,0.041915
0.020000,60.378296,223.838217,4.924753,25.190047,65.372117,-7.790871,0.047456
0.020000,60.907535,223.864904,5.454665,26.495591,65.277217,-4.744972,0.053316
0.020000,61.462595,223.896245,6.010609,27.797215,65.081210,-9.800340,0.059497
0.020000,62.043365,223.932734,6.592524,29.095755,64.926973,-7.711873,0.066004
0.020000,62.649759,223.974897,7.200382,30.392906,64.857554,-3.470940,0.072839
0.020000,63.281657,224.023280,7.834130,31.687367,64.723072,-6.724109,0.080006
0.020000,63.938919,224.078458,8.493704,32.978720,64.567653,-7.770954,0.087508
0.020000,64.621426,224.141030,9.179073,34.268434,64.485673,-4.099002,0.095348
0.020000,65.329044,224.211624,9.890204,35.556550,64.405818,-3.992747,0.103528
0.020000,66.061599,224.290889,10.627035,36.841565,64.250757,-7.753066,0.112050
0.020000,66.818949,224.379506,11.389551,38.125810,64.212254,-1.925126,0.120916
0.020000,67.600943,224.478179,12.177746,39.409737,64.196346,-0.795398,0.130128
0.020000,68.407409,224.587638,12.991607,40.693053,64.165777,-1.528438,0.139686
0.020000,69.238156,224.708637,13.831119,41.975611,64.127896,-1.894088,0.149590
0.020000,70.092987,224.841955,14.696284,43.258228,64.130879,0.149144,0.159840
0.020000,70.971728,224.988398,15.587144,44.543000,64.238599,5.386009,0.170434
0.020000,71.874175,225.148795,16.503734,45.829525,64.326242,4.382187,0.181369
0.020000,72.800110,225.323995,17.446099,47.118208,64.434131,5.394405,0.192643
0.020000,73.749342,225.514878,18.414333,48.411709,64.675060,12.046475,0.204251
0.020000,74.721615,225.722332,19.408492,49.707940,64.811550,6.824508,0.216186
0.020000,75.716736,225.947280,20.428720,51.011436,65.174797,18.162359,0.228443
0.020000,76.734452,226.190652,21.475131,52.320553,65.455867,14.053499,0.241012
0.020000,77.774529,226.453403,22.547885,53.637671,65.855867,19.999980,0.253883
0.020000,78.836733,226.736503,23.647167,54.964104,66.321663,23.289800,0.267045
0.020000,79.920819,227.040936,24.773187,56.301028,66.846195,26.226577,0.280485
0.020000,81.026534,227.367698,25.926175,57.649361,67.416679,28.524224,0.294188
0.020000,82.153627,227.717793,27.106388,59.010686,68.066217,32.476917,0.308137
0.020000,83.301843,228.092237,28.314117,60.386454,68.788425,36.110374,0.322314
0.020000,84.470925,228.492046,29.549674,61.777815,69.568018,38.979670,0.336700
0.020000,85.660626,228.918247,30.813413,63.186960,70.457277,44.462916,0.351272
0.020000,86.870675,229.371854,32.105689,64.613817,71.342862,44.279287,0.366006
0.020000,88.100816,229.853883,33.426900,66.060546,72.336418,49.677763,0.380879
0.020000,89.350789,230.365341,34.777463,67.528137,73.379542,52.156237,0.395864
0.020000,90.620332,230.907219,36.157816,69.017637,74.475011,54.773459,0.410932
0.020000,91.909194,231.480499,37.568424,70.530401,75.638210,58.159935,0.426054
0.020000,93.217113,232.086132,39.009758,72.066701,76.815019,58.840446,0.441201
0.020000,94.543837,232.725050,40.482310,73.627620,78.045949,61.546491,0.456341
0.020000,95.889116,233.398151,41.986584,75.213710,79.304498,62.927464,0.471442
0.020000,97.252707,234.106303,43.523093,76.825453,80.587122,64.131191,0.486471
0.020000,98.634376,234.850329,45.092355,78.463105,81.882600,64.773902,0.501396
0.020000,100.033895,235.631011,46.694890,80.126744,83.181955,64.967744,0.516184
0.020000,101.451049,236.449082,48.331218,81.816364,84.481018,64.953170,0.530801
0.020000,102.885639,237.305223,50.001854,83.531823,85.772948,64.596480,0.545215
0.020000,104.337484,238.200058,51.707310,85.272804,87.049030,63.804122,0.559394
0.020000,105.806420,239.134150,53.448087,87.038841,88.301864,62.641690,0.573305
0.020000,107.292314,240.108002,55.224676,88.829429,89.529409,61.377225,0.586918
0.020000,108.795056,241.122050,57.037554,90.643913,90.724195,59.739328,0.600202
0.020000,110.314572,242.176662,58.887185,92.481562,91.882435,57.911988,0.613128
0.020000,111.850826,243.272135,60.774018,94.341651,93.004453,56.100883,0.625667
0.020000,113.403825,244.408699,62.698487,96.223461,94.090498,54.302265,0.637791
0.020000,114.973618,245.586507,64.661006,98.125930,95.123456,51.647909,0.649475
0.020000,116.560313,246.805643,66.661979,100.048657,96.136341,50.644238,0.660692
0.020000,118.164071,248.066116,68.701791,101.990614,97.097839,48.074916,0.671419
0.020000,119.785117,249.367864,70.780814,103.951146,98.026607,46.438396,0.681632
0.020000,121.423743,250.710750,72.899408,105.929683,98.926881,45.013674,0.691307
0.020000,123.074726,252.089855,75.050612,107.560199,81.525787,-870.054671,0.700394
0.020000,124.725914,253.493850,77.218012,108.369982,40.489133,-2051.832690,0.708815
0.020000,126.365316,254.910747,79.384861,108.342493,-1.374455,-2093.179409,0.716515
0.020000,127.983999,256.330589,81.538018,107.657828,-34.233253,-1642.939910,0.723474
0.020000,129.578624,257.748034,83.671554,106.676824,-49.050166,-740.845637,0.729702
0.020000,131.149925,259.161367,85.784964,105.670495,-50.316474,-63.315430,0.735234
0.020000,132.698607,260.568981,87.877760,104.639762,-51.536625,-61.007522,0.740099
0.020000,134.225335,261.969364,89.949466,103.585342,-52.721008,-59.219174,0.744328
0.020000,135.730741,263.361105,91.999635,102.508434,-53.845394,-56.219270,0.747949
0.020000,137.215421,264.742880,94.027831,101.409777,-54.932847,-54.372664,0.750990
0.020000,138.679930,266.113452,96.033636,100.290265,-55.975640,-52.139647,0.753478
0.020000,140.124785,267.471665,98.016650,99.150720,-56.977213,-50.078666,0.755437
0.020000,141.550460,268.816439,99.976489,97.991920,-57.940030,-48.140859,0.756893
0.020000,142.957394,270.146765,101.912782,96.814665,-58.862746,-46.135786,0.757868
0.020000,144.345982,271.461706,103.825174,95.619608,-59.752863,-44.505857,0.758386
0.020000,145.716578,272.760386,105.713322,94.407397,-60.610514,-42.882554,0.758468
0.020000,147.069497,274.041991,107.576895,93.178632,-61.438273,-41.387911,0.758135
0.020000,148.405015,275.305765,109.415572,91.933866,-62.238273,-40.000047,0.757408
0.020000,149.723366,276.551008,111.229044,90.673586,-63.013992,-38.785953,0.756305
0.020000,151.024747,277.777071,113.017010,89.398293,-63.764663,-37.533533,0.754847
0.020000,152.309315,278.983353,114.779176,88.108334,-64.497937,-36.663681,0.753052
0.020000,153.577190,280.169301,116.515259,86.804111,-65.211183,-35.662315,0.750937
0.020000,154.828457,281.334409,118.224979,85.486030,-65.904038,-34.642752,0.748522
0.020000,156.063162,282.478211,119.908065,84.154286,-66.587188,-34.157513,0.745822
0.020000,157.281317,283.600283,121.564250,82.809243,-67.252186,-33.249868,0.742855
0.020000,158.482902,284.700239,123.193271,81.451070,-67.908644,-32.822917,0.739637
0.020000,159.667862,285.777735,124.794873,80.080075,-68.549754,-32.055485,0.736185
0.020000,160.836112,286.832458,126.368801,78.696409,-69.183262,-31.675407,0.732515
0.020000,161.987535,287.864133,127.914805,77.300189,-69.810998,-31.386807,0.728642
0.020000,163.121991,288.872521,129.432643,75.891943,-70.412338,-30.066984,0.724583
0.020000,164.239302,289.857409,130.922069,74.471281,-71.033067,-31.036453,0.720353
0.020000,165.339273,290.818620,132.382844,73.038739,-71.627125,-29.702889,0.715966
0.020000,166.421682,291.756007,133.814732,71.594399,-72.217003,-29.493941,0.711438
0.020000,167.486282,292.669451,135.217498,70.138328,-72.803525,-29.326098,0.706784
0.020000,168.532806,293.558860,136.590911,68.670621,-73.385386,-29.093043,0.702019
0.020000,169.560971,294.424176,137.934746,67.191778,-73.942133,-27.837319,0.697156
0.020000,170.570469,295.265357,139.248775,65.701437,-74.517048,-28.745755,0.692211
0.020000,171.560979,296.082393,140.532776,64.200050,-75.069355,-27.615358,0.687197
0.020000,172.532167,296.875296,141.786531,62.687728,-75.616070,-27.335754,0.682128
0.020000,173.483683,297.644099,143.009822,61.164555,-76.158665,-27.129740,0.677018
0.020000,174.415170,298.388863,144.202441,59.630985,-76.678496,-25.991574,0.671880
0.020000,175.326256,299.109661,145.364176,58.086714,-77.213539,-26.752149,0.666728
0.020000,176.216566,299.806592,146.494824,56.532407,-77.715357,-25.090881,0.661575
0.020000,177.085716,300.479773,147.594184,54.968027,-78.219019,-25.183134,0.656433
0.020000,177.933320,301.129335,148.662063,53.393920,-78.705359,-24.317000,0.651314
0.020000,178.758987,301.755426,149.698265,51.810117,-79.190135,-24.238751,0.646232
0.020000,179.562324,302.358208,150.702604,50.216950,-79.658351,-23.410817,0.641197
0.020000,180.342942,302.937857,151.674899,48.614756,-80.109702,-22.567541,0.636222
0.020000,181.100452,303.494563,152.614975,47.003789,-80.548341,-21.931969,0.631317
0.020000,181.834465,304.028522,153.522658,45.384154,-80.981776,-21.671757,0.626494
0.020000,182.544605,304.539943,154.397786,43.756396,-81.387875,-20.304943,0.621762
0.020000,183.230491,305.029038,155.240195,42.120459,-81.796834,-20.447943,0.617133
0.020000,183.891757,305.496029,156.049734,40.476940,-82.175979,-18.957230,0.612616
0.020000,184.528041,305.941140,156.826253,38.825955,-82.549221,-18.662134,0.608219
0.020000,185.138993,306.364601,157.569612,37.167931,-82.901205,-17.599188,0.603953
0.020000,185.724273,306.766642,158.279674,35.503120,-83.240551,-16.967294,0.599826
0.020000,186.283548,307.147492,158.956310,33.831796,-83.566196,-16.282259,0.595846
0.020000,186.816504,307.507383,159.599399,32.154449,-83.867373,-15.058846,0.592021
0.020000,187.322834,307.846539,160.208822,30.471158,-84.164572,-14.859971,0.588358
0.020000,187.802245,308.165186,160.784471,28.782425,-84.436621,-13.602448,0.584864
0.020000,188.254461,308.463541,161.326241,27.088526,-84.694942,-12.916050,0.581546
0.020000,188.679218,308.741817,161.834036,25.389752,-84.938726,-12.189183,0.578410
0.020000,189.076268,309.000217,162.307765,23.686428,-85.166200,-11.373722,0.575462
0.020000,189.445377,309.238938,162.747344,21.978957,-85.373544,-10.367192,0.572707
0.020000,189.786330,309.458166,163.152695,20.267552,-85.570236,-9.834568,0.570150
0.020000,190.098924,309.658077,163.523747,18.552579,-85.748644,-8.920425,0.567795
0.020000,190.382975,309.838834,163.860434,16.834350,-85.911439,-8.139744,0.565647
0.020000,190.638316,310.000588,164.162698,15.113199,-86.057590,-7.307567,0.563709
0.020000,190.864794,310.143479,164.430486,13.389395,-86.190176,-6.629262,0.561986
0.020000,191.062277,310.267630,164.663751,11.663284,-86.305576,-5.770026,0.560478
