dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.302612,192.236262,0.007777,0.777736,38.886795,1944.339746,6.276425
0.020000,55.306995,192.236233,0.012161,0.219176,-27.927994,-3340.739440,6.276703
0.020000,55.315764,192.236179,0.020929,0.438429,10.962633,1944.531323,6.277260
0.020000,55.328920,192.236106,0.034086,0.657834,10.970260,0.381382,6.278095
0.020000,55.465079,192.235492,0.170246,6.808001,307.508349,14826.904424,6.279210
0.020000,55.642596,192.234910,0.347764,8.875897,103.394831,-10205.675869,6.280605
0.020000,55.855657,192.234539,0.560826,10.653087,88.859483,-726.767425,6.282282
0.020000,56.104293,192.234558,0.809462,12.431794,88.935362,3.793970,0.001056
0.020000,56.388517,192.235177,1.093687,14.211262,88.973396,1.901674,0.003301
0.020000,56.708341,192.236637,1.413514,15.991344,89.004066,1.533511,0.005832
0.020000,57.063862,192.239211,1.769044,17.776497,89.257650,12.679203,0.008652
0.020000,57.455038,192.243204,2.160240,19.559835,89.166918,-4.536603,0.011762
0.020000,57.881923,192.248952,2.587164,21.346179,89.317203,7.514248,0.015167
0.020000,58.344562,192.256825,3.049870,23.135297,89.455917,6.935719,0.018867
0.020000,58.842981,192.267226,3.548397,24.926363,89.553291,4.868701,0.022866
0.020000,59.377185,192.280592,4.082768,26.718560,89.609859,2.828375,0.027168
0.020000,59.947250,192.297397,4.653081,28.515635,89.853723,12.193201,0.031774
0.020000,60.553141,192.318144,5.259328,30.312326,89.834563,-0.957973,0.036688
0.020000,61.194922,192.343379,5.901604,32.113834,90.075381,12.040882,0.041915
0.020000,61.872593,192.373680,6.579953,33.917410,90.178793,5.170610,0.047456
0.020000,62.586181,192.409664,7.294448,35.724762,90.367619,9.441309,0.053316
0.020000,63.335651,192.451982,8.045111,37.533172,90.420507,2.644380,0.059497
0.020000,64.120977,192.501325,8.831985,39.343701,90.526445,5.296888,0.066004
0.020000,64.942164,192.558422,9.655155,41.158509,90.740415,10.698506,0.072839
0.020000,65.799168,192.624043,10.514668,42.975623,90.855673,5.762927,0.080006
0.020000,66.691911,192.698989,11.410551,44.794161,90.926924,3.562556,0.087508
0.020000,67.620331,192.784108,12.342865,46.615708,91.077340,7.520772,0.095348
0.020000,68.584342,192.880281,13.311661,48.439805,91.204864,6.376225,0.103528
0.020000,69.583783,192.988426,14.316937,50.263762,91.197858,-0.350327,0.112050
