dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.848417,314.639259,0.001000,0.200000,20.000000,2000.000000,0.000904
0.010000,5.848671,314.639259,0.001253,0.025322,-17.467826,-3746.782590,0.000888
0.010000,5.849240,314.639260,0.001823,0.056971,3.164923,2063.274900,0.000852
0.010000,5.850253,314.639260,0.002836,0.101272,4.430069,126.514549,0.000788
0.010000,5.851835,314.639262,0.004418,0.158211,5.693950,126.388135,0.000687
0.010000,5.854113,314.639263,0.006695,0.227769,6.955761,126.181063,0.000543
0.010000,5.857212,314.639264,0.009795,0.309914,8.214491,125.873050,0.000346
0.010000,5.861258,314.639265,0.013841,0.404603,9.468928,125.443705,0.000089
0.010000,5.925148,314.639258,0.077731,6.389003,598.440012,58897.108364,6.282950
0.010000,6.031462,314.639212,0.184045,10.631435,424.243151,-17419.686067,6.282549
0.010000,6.160096,314.639099,0.312678,12.863331,223.189606,-20105.354521,6.282064
0.010000,6.313170,314.638883,0.465753,15.307477,244.414623,2122.501672,6.281488
0.010000,6.492811,314.638517,0.645394,17.964100,265.662293,2124.767081,6.280812
0.010000,6.701132,314.637941,0.853716,20.832215,286.811536,2114.924302,6.280030
0.010000,6.940253,314.637079,1.092839,23.912269,308.005367,2119.383055,6.279133
0.010000,7.211227,314.635844,1.363815,27.097653,318.538452,1053.308501,6.278119
0.010000,7.514040,314.634138,1.666633,30.281788,318.413419,-12.503315,6.276987
0.010000,7.848684,314.631855,2.001285,33.465163,318.337533,-7.588604,6.275740
0.010000,8.215139,314.628877,2.367752,36.646693,318.153010,-18.452236,6.274377
0.010000,8.613391,314.625075,2.766022,39.827033,318.033958,-11.905288,6.272899
0.010000,9.043418,314.620309,3.196076,43.005348,317.831508,-20.244995,6.271309
0.010000,9.505202,314.614431,3.657897,46.182098,317.675061,-15.644656,6.269606
0.010000,9.998720,314.607280,4.151466,49.356976,317.487792,-18.726893,6.267792
0.010000,10.523946,314.598689,4.676763,52.529683,317.270671,-21.712114,6.265868
0.010000,11.080852,314.588478,5.233763,55.699930,317.024716,-24.595509,6.263836
