dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.876910,283.139272,0.000974,0.194869,19.486915,1948.691498,0.000905
0.010000,5.876663,283.139272,0.001221,0.024672,-17.019700,-3650.661538,0.000889
0.010000,5.876108,283.139271,0.001776,0.055510,3.083739,2010.343902,0.000854
0.010000,5.875122,283.139270,0.002763,0.098674,4.316452,123.271342,0.000791
0.010000,5.873642,283.139269,0.004243,0.147988,4.931408,61.495588,0.000697
0.010000,5.871669,283.139268,0.006216,0.197275,4.928653,-0.275443,0.000572
0.010000,5.869204,283.139267,0.008681,0.246524,4.924980,-0.367387,0.000415
0.010000,5.866246,283.139266,0.011638,0.295728,4.920385,-0.459443,0.000228
0.010000,5.862798,283.139265,0.015087,0.344877,4.914869,-0.551637,0.000009
0.010000,5.919088,283.139259,0.071377,5.628983,528.410586,52349.571757,6.282944
0.010000,5.984811,283.139233,0.137100,6.572360,94.337676,-43407.291040,6.282662
0.010000,6.057837,283.139184,0.210126,7.302581,73.022158,-2131.551796,6.282350
0.010000,6.138173,283.139103,0.290462,8.033616,73.103461,8.130296,6.282007
0.010000,6.225814,283.138983,0.378103,8.764126,73.051030,-5.243120,6.281632
0.010000,6.320763,283.138817,0.473052,9.494847,73.072109,2.107966,6.281227
0.010000,6.423022,283.138594,0.575312,10.225991,73.114339,4.222910,6.280791
0.010000,6.532590,283.138306,0.684880,10.956776,73.078584,-3.575453,6.280324
0.010000,6.649471,283.137943,0.801761,11.688171,73.139413,6.082894,6.279827
0.010000,6.773664,283.137493,0.925955,12.419392,73.122151,-1.726233,6.279299
0.010000,6.905169,283.136945,1.057462,13.150666,73.127379,0.522872,6.278740
0.010000,7.043995,283.136287,1.196289,13.882687,73.202108,7.472861,6.278151
0.010000,7.190134,283.135506,1.342431,14.614176,73.148940,-5.316818,6.277532
0.010000,7.343591,283.134589,1.495890,15.345963,73.178672,2.973249,6.276883
0.010000,7.504373,283.133520,1.656676,16.078576,73.261308,8.263602,6.276203
0.010000,7.672476,283.132287,1.824784,16.810758,73.218163,-4.314540,6.275494
0.010000,7.847903,283.130873,2.000216,17.543202,73.244415,2.625213,6.274755
0.010000,8.030655,283.129262,2.182975,18.275907,73.270548,2.613321,6.273986
0.010000,8.220735,283.127437,2.373063,19.008873,73.296605,2.605642,6.273187
0.010000,8.418145,283.125382,2.570484,19.742100,73.322628,2.602303,6.272360
0.010000,8.622888,283.123077,2.775240,20.475586,73.348662,2.603427,6.271503
0.010000,8.834966,283.120506,2.987334,21.209334,73.374753,2.609133,6.270617
0.010000,9.054381,283.117647,3.206767,21.943343,73.400949,2.619534,6.269702
0.010000,9.281135,283.114483,3.433543,22.677616,73.427296,2.634736,6.268758
0.010000,9.515230,283.110991,3.667665,23.412155,73.453844,2.654843,6.267786
0.010000,9.756669,283.107152,3.909134,24.146961,73.480644,2.679950,6.266785
0.010000,10.005454,283.102944,4.157955,24.882039,73.507745,2.710147,6.265757
0.010000,10.261587,283.098344,4.414129,25.617391,73.535201,2.745519,6.264700
0.010000,10.525069,283.093330,4.677659,26.353027,73.563652,2.845131,6.263616
0.010000,10.795910,283.087878,4.948555,27.089567,73.653973,9.032116,6.262504
0.010000,11.074105,283.081965,5.226813,27.825836,73.626882,-2.709076,6.261364
0.010000,11.359658,283.075566,5.512437,28.562397,73.656081,2.919870,6.260198
0.010000,11.652576,283.068657,5.805437,29.299965,73.756837,10.075584,6.259005
0.010000,11.952857,283.061211,6.105810,30.037318,73.735300,-2.153660,6.257785
0.010000,12.260505,283.053203,6.413562,30.775264,73.794596,5.929610,6.256539
0.010000,12.575525,283.044607,6.728700,31.513728,73.846370,5.177392,6.255267
0.010000,12.897917,283.035394,7.051223,32.252378,73.865053,1.868305,6.253969
0.010000,13.227687,283.025538,7.381140,32.991664,73.928562,6.350830,6.252645
0.010000,13.564836,283.015010,7.718453,33.731326,73.966221,3.765968,6.251296
0.010000,13.909365,283.003783,8.063165,34.471174,73.984850,1.862873,6.249922
0.010000,14.261283,282.991826,8.415286,35.212136,74.096182,11.133235,6.248523
0.010000,14.620588,282.979110,8.774816,35.952954,74.081782,-1.440040,6.247100
0.010000,14.987282,282.965607,9.141759,36.694331,74.137670,5.588821,6.245653
0.010000,15.361374,282.951284,9.516125,37.436582,74.225134,8.746359,6.244182
0.010000,15.742864,282.936111,9.897916,38.179119,74.253667,2.853323,6.242688
0.010000,16.131753,282.920058,10.287137,38.922105,74.298640,4.497262,6.241170
0.010000,16.528047,282.903091,10.683794,39.665663,74.355799,5.715944,6.239630
0.010000,16.931748,282.885181,11.087892,40.409797,74.413359,5.755968,6.238067
0.010000,17.342859,282.866293,11.499437,41.154511,74.471393,5.803443,6.236482
0.010000,17.761385,282.846395,11.918435,41.899810,74.529976,5.858282,6.234875
0.010000,18.187327,282.825454,12.344892,42.645702,74.589180,5.920384,6.233248
0.010000,18.620690,282.803436,12.778814,43.392193,74.649076,5.989642,6.231599
0.010000,19.061477,282.780308,13.220207,44.139290,74.709736,6.065937,6.229929
0.010000,19.509690,282.756035,13.669077,44.887003,74.771227,6.149141,6.228240
0.010000,19.965333,282.730584,14.125430,45.635339,74.833618,6.239118,6.226530
0.010000,20.428409,282.703918,14.589273,46.384309,74.896975,6.335723,6.224802
0.010000,20.898921,282.676004,15.060613,47.133922,74.961363,6.438798,6.223054
0.010000,21.376875,282.646805,15.539458,47.884483,75.056098,9.473485,6.221288
0.010000,21.862271,282.616287,16.025813,48.635502,75.101863,4.576467,6.219504
0.010000,22.355113,282.584413,16.519684,49.387142,75.164023,6.216052,6.217702
0.010000,22.855406,282.551148,17.021081,50.139709,75.256658,9.263431,6.215883
0.010000,23.363152,282.516456,17.530011,50.892974,75.326510,6.985179,6.214048
0.010000,23.878352,282.480299,18.046478,51.646757,75.378295,5.178565,6.212196
0.010000,24.401015,282.442643,18.570496,52.401755,75.499863,12.156826,6.210329
0.010000,24.931138,282.403449,19.102066,53.156999,75.524368,2.450465,6.208446
0.010000,25.468730,282.362681,19.641201,53.913549,75.654951,13.058240,6.206549
0.010000,26.013789,282.320303,20.187906,54.670433,75.688439,3.348806,6.204637
0.010000,26.566323,282.276277,20.742191,55.428501,75.806784,11.834580,6.202712
0.010000,27.126332,282.230567,21.304063,56.187181,75.867987,6.120246,6.200773
0.010000,27.693820,282.183135,21.873529,56.946665,75.948422,8.043524,6.198822
0.010000,28.268793,282.133944,22.450602,57.707290,76.062529,11.410647,6.196859
0.010000,28.851251,282.082957,23.035287,58.468534,76.124350,6.182129,6.194885
0.010000,29.441198,282.030137,23.627594,59.230681,76.214760,9.041024,6.192899
0.010000,30.038637,281.975448,24.227532,59.993748,76.306726,9.196564,6.190903
0.010000,30.643573,281.918851,24.835110,60.757805,76.405618,9.889206,6.188897
0.010000,31.256009,281.860310,25.450337,61.522746,76.494148,8.853007,6.186882
0.010000,31.875948,281.799788,26.073223,62.288586,76.583955,8.980703,6.184858
0.010000,32.503393,281.737249,26.703777,63.055381,76.679510,9.555533,6.182826
0.010000,33.138347,281.672656,27.342008,63.823141,76.776013,9.650251,6.180787
0.010000,33.780815,281.605972,27.987927,64.591876,76.873521,9.750807,6.178741
0.010000,34.430798,281.537162,28.641543,65.361597,76.972089,9.856824,6.176689
0.010000,35.088302,281.466189,29.302866,66.132315,77.071768,9.967923,6.174631
0.010000,35.753329,281.393017,29.971907,66.904041,77.172605,10.083721,6.172568
0.010000,36.425884,281.317611,30.648675,67.676851,77.280983,10.837776,6.170501
0.010000,37.105969,281.239936,31.333181,68.450641,77.379049,9.806615,6.168430
0.010000,37.793587,281.159956,32.025436,69.225467,77.482568,10.351857,6.166357
0.010000,38.488744,281.077638,32.725450,70.001348,77.588166,10.559831,6.164281
0.010000,39.191442,280.992946,33.433233,70.778348,77.699997,11.183043,6.162204
0.010000,39.901686,280.905848,34.148797,71.556421,77.807309,10.731226,6.160125
0.010000,40.619478,280.816309,34.872153,72.335543,77.912181,10.487165,6.158047
0.010000,41.344824,280.724296,35.603311,73.115835,78.029190,11.700895,6.155969
0.010000,42.077726,280.629778,36.342283,73.897203,78.136781,10.759155,6.153892
0.010000,42.818189,280.532721,37.089080,74.679712,78.250905,11.412381,6.151817
0.010000,43.566218,280.433094,37.843714,75.463366,78.365401,11.449579,6.149745
0.010000,44.321816,280.330867,38.606196,76.248165,78.479934,11.453316,6.147676
0.010000,45.084987,280.226008,39.376537,77.034125,78.595980,11.604612,6.145611
0.010000,45.855736,280.118488,40.154750,77.821267,78.714214,11.823432,6.143551
0.010000,46.634068,280.008278,40.940845,78.609580,78.831238,11.702357,6.141497
0.010000,47.419987,279.895348,41.734836,79.399094,78.951385,12.014668,6.139449
0.010000,48.213497,279.779672,42.536734,80.189805,79.071192,11.980706,6.137409
0.010000,49.014605,279.661221,43.346552,80.981734,79.192818,12.162677,6.135376
0.010000,49.823315,279.539969,44.164301,81.774888,79.315389,12.257045,6.133352
0.010000,50.639631,279.415890,44.989993,82.569269,79.438136,12.274759,6.131337
0.010000,51.463560,279.288960,45.823642,83.364885,79.561584,12.344732,6.129332
0.010000,52.295108,279.159154,46.665260,84.161761,79.687646,12.606233,6.127339
0.010000,53.134278,279.026449,47.514859,84.959898,79.813677,12.603117,6.125358
0.010000,53.981079,278.890822,48.372452,85.759304,79.940585,12.690819,6.123389
0.010000,54.835515,278.752252,49.238052,86.559988,80.068399,12.781380,6.121433
0.010000,55.697594,278.610719,50.111671,87.361959,80.197143,12.874346,6.119492
0.010000,56.567321,278.466202,50.993323,88.165228,80.326835,12.969272,6.117566
0.010000,57.444704,278.318683,51.883021,88.969803,80.457493,13.065727,6.115656
0.010000,58.329750,278.168144,52.780778,89.775694,80.589126,13.163293,6.113763
0.010000,59.222465,278.014570,53.686607,90.582873,80.717875,12.874944,6.111887
0.010000,60.122858,277.857943,54.600521,91.391403,80.853052,13.517688,6.110030
0.010000,61.030936,277.698251,55.522534,92.201287,80.988439,13.538749,6.108192
0.010000,61.946708,277.535479,56.452659,93.012527,81.123952,13.551236,6.106374
0.010000,62.870182,277.369616,57.390910,93.825071,81.254387,13.043543,6.104577
0.010000,63.801366,277.200650,58.337300,94.638995,81.392436,13.804844,6.102802
