dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.846143,314.639257,0.007773,0.777332,38.866591,1943.329551,0.001049
0.020000,5.848584,314.639259,0.010214,0.122056,-32.763805,-3581.519797,0.000894
0.020000,5.853464,314.639263,0.015095,0.244018,6.098126,1943.096551,0.000584
0.020000,5.860780,314.639265,0.022411,0.365794,6.088798,-0.466411,0.000120
0.020000,5.970886,314.639238,0.132516,5.505282,256.974400,12544.280084,6.282686
0.020000,6.138520,314.639090,0.300150,8.381705,143.821126,-5657.663680,6.281913
0.020000,6.339662,314.638741,0.501293,10.057126,83.771070,-3002.502801,6.280987
0.020000,6.574304,314.638099,0.735936,11.732158,83.751587,-0.974142,6.279909
0.020000,6.842434,314.637055,1.004068,13.406586,83.721421,-1.508292,6.278678
0.020000,7.144034,314.635487,1.305672,15.080201,83.680756,-2.033260,6.277296
0.020000,7.479082,314.633257,1.640728,16.752797,83.629802,-2.547724,6.275764
0.020000,7.847570,314.630213,2.009228,18.425008,83.610517,-0.964214,6.274084
0.020000,8.249465,314.626187,2.411143,20.095743,83.536772,-3.687245,6.272255
0.020000,8.684747,314.620999,2.846456,21.765638,83.494763,-2.100481,6.270280
0.020000,9.153390,314.614454,3.315145,23.434465,83.441315,-2.672398,6.268161
0.020000,9.655365,314.606343,3.817185,25.102000,83.376782,-3.226623,6.265898
0.020000,10.190634,314.596445,4.352546,26.768031,83.301541,-3.762071,6.263494
0.020000,10.759156,314.584524,4.921193,28.432351,83.215986,-4.277734,6.260950
0.020000,11.360898,314.570334,5.523102,30.095467,83.155791,-3.009762,6.258269
0.020000,11.995807,314.553616,6.158231,31.756441,83.048735,-5.352782,6.255452
0.020000,12.663837,314.534098,6.826546,33.415765,82.966179,-4.127804,6.252503
0.020000,13.364937,314.511498,7.528010,35.073198,82.871656,-4.726148,6.249423
0.020000,14.099048,314.485524,8.262580,36.728513,82.765733,-5.296151,6.246216
0.020000,14.866105,314.455872,9.030210,38.381493,82.648988,-5.837289,6.242884
0.020000,15.666036,314.422231,9.830849,40.031933,82.522004,-6.349171,6.239429
0.020000,16.498777,314.384278,10.664454,41.680251,82.415905,-5.304944,6.235857
0.020000,17.364241,314.341685,11.530965,43.325568,82.265836,-7.503457,6.232169
0.020000,18.262347,314.294113,12.430330,44.968259,82.134585,-6.562551,6.228369
0.020000,19.193007,314.241220,13.362492,46.608085,81.991303,-7.164090,6.224461
0.020000,20.156124,314.182654,14.327388,48.244821,81.836774,-7.726465,6.220449
0.020000,21.151596,314.118061,15.324954,49.878256,81.671771,-8.250137,6.216336
0.020000,22.179312,314.047081,16.355118,51.508206,81.497494,-8.713858,6.212128
0.020000,23.239165,313.969350,17.417818,53.135002,81.339818,-7.883801,6.207829
0.020000,24.331029,313.884503,18.512973,54.757790,81.139374,-10.022190,6.203443
0.020000,25.454779,313.792171,19.640511,56.376854,80.953210,-9.308207,6.198975
0.020000,26.610284,313.691985,20.800350,57.991979,80.756251,-9.847960,6.194431
0.020000,27.797403,313.583577,21.992409,59.602960,80.549023,-10.361379,6.189815
0.020000,29.015992,313.466581,23.216602,61.209609,80.332452,-10.828551,6.185133
0.020000,30.265900,313.340630,24.472839,62.811894,80.114253,-10.909981,6.180390
0.020000,31.546970,313.205363,25.761030,64.409549,79.882742,-11.575552,6.175593
0.020000,32.859039,313.060422,27.081081,66.002538,79.649486,-11.662785,6.170747
0.020000,34.201939,312.905456,28.432893,67.590582,79.402200,-12.364304,6.165859
0.020000,35.575496,312.740119,29.816365,69.173629,79.152345,-12.492766,6.160935
0.020000,36.979533,312.564073,31.231396,70.751512,78.894131,-12.910701,6.155981
0.020000,38.413866,312.376990,32.677878,72.324111,78.629958,-13.208612,6.151005
0.020000,39.878308,312.178551,34.155704,73.891296,78.359257,-13.535082,6.146012
0.020000,41.372668,311.968448,35.664761,75.452881,78.079240,-14.000810,6.141011
0.020000,42.896751,311.746385,37.204937,77.008796,77.795749,-14.174582,6.136008
0.020000,44.450361,311.512081,38.776116,78.558917,77.506070,-14.483931,6.131011
0.020000,46.033297,311.265268,40.378178,80.103100,77.209118,-14.847600,6.126027
0.020000,47.645357,311.005695,42.011003,81.641245,76.907274,-15.092201,6.121065
0.020000,49.286339,310.733127,43.674467,83.173244,76.599924,-15.367492,6.116131
0.020000,50.956039,310.447347,45.368448,84.699006,76.288138,-15.589307,6.111234
0.020000,52.654253,310.148158,47.092815,86.218397,75.969522,-15.930826,6.106381
0.020000,54.380778,309.835382,48.847443,87.731364,75.648365,-16.057830,6.101582
0.020000,56.135412,309.508863,50.632199,89.237800,75.321811,-16.327683,6.096843
0.020000,57.917954,309.168467,52.446951,90.737615,74.990729,-16.554102,6.092175
0.020000,59.728207,308.814085,54.291566,92.230737,74.656102,-16.731376,6.087584
0.020000,61.565977,308.445631,56.165908,93.717088,74.317560,-16.927090,6.083080
0.020000,63.431073,308.063045,58.069838,95.196533,73.972225,-17.266771,6.078672
0.020000,65.323308,307.666293,60.003221,96.669124,73.629566,-17.132927,6.074368
0.020000,67.242503,307.255370,61.965915,98.134696,73.278603,-17.548164,6.070177
0.020000,69.188482,306.830299,63.957778,99.593155,72.922949,-17.782676,6.066109
0.020000,71.161077,306.391132,65.978668,101.044527,72.568606,-17.717161,6.062171
0.020000,73.160126,305.937954,68.028441,102.488642,72.205755,-18.142578,6.058374
0.020000,75.185477,305.470878,70.106951,103.925520,71.843878,-18.093839,6.054727
0.020000,77.236985,304.990054,72.214053,105.355083,71.478153,-18.286241,6.051238
0.020000,79.314512,304.495663,74.349596,106.777123,71.102000,-18.807671,6.047918
0.020000,81.417933,303.987921,76.513430,108.191740,70.730883,-18.555831,6.044775
0.020000,83.547130,303.467081,78.705406,109.598760,70.350985,-18.994901,6.041820
0.020000,85.701997,302.933433,80.925368,110.998102,69.967100,-19.194230,6.039063
0.020000,87.882438,302.387304,83.173161,112.389691,69.579427,-19.383673,6.036512
0.020000,90.088367,301.829062,85.448630,113.773439,69.187405,-19.601111,6.034178
0.020000,92.319709,301.259113,87.751613,115.149159,68.785997,-20.070362,6.032072
0.020000,94.576405,300.677906,90.081951,116.516885,68.386305,-19.984629,6.030203
0.020000,96.858400,300.085934,92.439478,117.876352,67.973353,-20.647578,6.028582
0.020000,99.165656,299.483732,94.824028,119.227514,67.558103,-20.762502,6.027219
