dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.862663,298.889265,0.007773,0.777332,38.866591,1943.329551,0.001049
0.020000,5.862663,298.889265,0.038867,2.331995,77.733182,1943.329551,0.000894
0.020000,5.862663,298.889265,0.101053,3.886659,77.733182,-0.000000,0.000584
0.020000,5.862663,298.889265,0.194333,5.441323,77.733182,0.000000,0.000120
0.020000,5.963022,298.889240,0.318706,6.995986,77.733182,0.000000,6.282686
0.020000,6.118486,298.889103,0.474172,8.550650,77.733182,-0.000000,6.281913
0.020000,6.305044,298.888779,0.660732,10.105314,77.733182,0.000000,6.280987
0.020000,6.522696,298.888183,0.878385,11.659977,77.733182,-0.000000,6.279909
0.020000,6.771442,298.887215,1.127131,13.214641,77.733182,-0.000000,6.278678
0.020000,7.051279,298.885760,1.406971,14.769305,77.733182,0.000000,6.277296
0.020000,7.362203,298.883691,1.717903,16.323968,77.733182,0.000000,6.275764
0.020000,7.704219,298.880865,2.059929,17.878632,77.733182,-0.000000,6.274084
0.020000,8.077318,298.877128,2.433049,19.433296,77.733182,0.000000,6.272255
0.020000,8.481499,298.872310,2.837261,20.987959,77.733182,-0.000000,6.270280
0.020000,8.916763,298.866231,3.272567,22.542623,77.733182,0.000000,6.268161
0.020000,9.383103,298.858696,3.738966,24.097286,77.733182,-0.000000,6.265898
0.020000,9.880512,298.849498,4.236458,25.651950,77.733182,0.000000,6.263494
0.020000,10.408979,298.838417,4.765044,27.206614,77.733182,0.000000,6.260950
0.020000,10.968504,298.825223,5.324723,28.761277,77.733182,0.000000,6.258269
0.020000,11.559069,298.809672,5.915495,30.315941,77.733182,0.000000,6.255452
0.020000,12.180667,298.791511,6.537361,31.870605,77.733182,0.000000,6.252503
0.020000,12.833287,298.770474,7.190319,33.425268,77.733182,0.000000,6.249423
0.020000,13.516912,298.746286,7.874371,34.979932,77.733182,-0.000000,6.246216
0.020000,14.231525,298.718661,8.589517,36.534596,77.733182,0.000000,6.242884
0.020000,14.977102,298.687306,9.335755,38.089259,77.733182,-0.000000,6.239429
0.020000,15.753629,298.651915,10.113087,39.643923,77.733182,0.000000,6.235857
0.020000,16.561075,298.612177,10.921512,41.198586,77.733182,0.000000,6.232169
0.020000,17.399416,298.567771,11.761030,42.753250,77.733182,0.000000,6.228369
0.020000,18.268625,298.518370,12.631642,44.307914,77.733182,0.000000,6.224461
0.020000,19.168668,298.463639,13.533347,45.862577,77.733182,-0.000000,6.220449
0.020000,20.099508,298.403240,14.466145,47.417241,77.733182,0.000000,6.216336
0.020000,21.061106,298.336826,15.430037,48.971905,77.733182,0.000000,6.212128
0.020000,22.053426,298.264048,16.425021,50.526568,77.733182,-0.000000,6.207829
0.020000,23.076419,298.184552,17.451099,52.081232,77.733182,0.000000,6.203443
0.020000,24.130038,298.097982,18.508271,53.635896,77.733182,0.000000,6.198975
0.020000,25.214234,298.003979,19.596535,55.190559,77.733182,-0.000000,6.194431
0.020000,26.328953,297.902182,20.715893,56.745223,77.733182,0.000000,6.189815
0.020000,27.474136,297.792233,21.866344,58.299887,77.733182,0.000000,6.185133
0.020000,28.649726,297.673771,23.047888,59.854550,77.733182,-0.000000,6.180390
0.020000,29.855658,297.546437,24.260526,61.409214,77.733182,0.000000,6.175593
0.020000,31.091868,297.409876,25.504257,62.963877,77.733182,0.000000,6.170747
0.020000,32.358286,297.263735,26.779081,64.518541,77.733182,-0.000000,6.165859
0.020000,33.654843,297.107666,28.084999,66.073205,77.733182,0.000000,6.160935
0.020000,34.981464,296.941326,29.422009,67.627868,77.733182,-0.000000,6.155981
0.020000,36.338076,296.764380,30.790113,69.182532,77.733182,0.000000,6.151005
0.020000,37.724600,296.576498,32.189311,70.737196,77.733182,0.000000,6.146012
0.020000,39.140958,296.377361,33.619601,72.291859,77.733182,0.000000,6.141011
0.020000,40.587071,296.166658,35.080985,73.846523,77.733182,-0.000000,6.136008
0.020000,42.062857,295.944090,36.573462,75.401187,77.733182,0.000000,6.131011
0.020000,43.568237,295.709370,38.097033,76.955850,77.733182,0.000000,6.126027
0.020000,45.103128,295.462222,39.651696,78.510514,77.733182,-0.000000,6.121065
0.020000,46.667451,295.202386,41.237453,80.065178,77.733182,0.000000,6.116131
0.020000,48.261125,294.929617,42.854303,81.619841,77.733182,-0.000000,6.111234
0.020000,49.884072,294.643688,44.502247,83.174505,77.733182,0.000000,6.106381
0.020000,51.536215,294.344386,46.181283,84.729168,77.733182,0.000000,6.101582
0.020000,53.217480,294.031519,47.891413,86.283832,77.733182,-0.000000,6.096843
0.020000,54.927796,293.704915,49.632637,87.838496,77.733182,0.000000,6.092175
0.020000,56.667097,293.364422,51.404953,89.393159,77.733182,0.000000,6.087584
0.020000,58.435317,293.009911,53.208363,90.947823,77.733182,0.000000,6.083080
0.020000,60.232399,292.641275,55.042866,92.502487,77.733182,-0.000000,6.078672
0.020000,62.058289,292.258433,56.908463,94.057150,77.733182,0.000000,6.074368
0.020000,63.912942,291.861328,58.805152,95.611814,77.733182,-0.000000,6.070177
0.020000,65.796315,291.449931,60.732935,97.166478,77.733182,0.000000,6.066109
0.020000,67.708376,291.024241,62.691811,98.721141,77.733182,0.000000,6.062171
0.020000,69.649100,290.584283,64.681781,100.275805,77.733182,-0.000000,6.058374
0.020000,71.618471,290.130117,66.702844,101.830468,77.733182,0.000000,6.054727
0.020000,73.616483,289.661830,68.755000,103.385132,77.733182,-0.000000,6.051238
