dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.879183,283.139274,0.007773,0.777332,38.866591,1943.329551,0.001049
0.020000,5.876742,283.139272,0.010214,0.122056,-32.763805,-3581.519797,0.000894
0.020000,5.871862,283.139268,0.015095,0.244018,6.098126,1943.096551,0.000584
0.020000,5.864546,283.139265,0.022411,0.365794,6.088798,-0.466411,0.000120
0.020000,5.955159,283.139242,0.113023,4.530635,208.242016,10107.660910,6.282686
0.020000,6.098453,283.139115,0.256318,7.164727,131.704626,-3826.869523,6.281913
0.020000,6.270425,283.138817,0.428290,8.598616,71.694453,-3000.508646,6.280987
0.020000,6.471087,283.138268,0.628953,10.033124,71.725397,1.547201,6.279909
0.020000,6.700450,283.137375,0.858317,11.468234,71.755491,1.504718,6.278678
0.020000,6.958525,283.136033,1.116396,12.903935,71.785043,1.477601,6.277296
0.020000,7.245323,283.134124,1.403201,14.340223,71.814400,1.467845,6.275764
0.020000,7.560869,283.131517,1.718757,15.777816,71.879684,3.264191,6.274084
0.020000,7.905171,283.128069,2.063076,17.215964,71.907370,1.384289,6.272255
0.020000,8.278252,283.123622,2.436184,18.655394,71.971487,3.205890,6.270280
0.020000,8.680135,283.118009,2.838106,20.096100,72.035324,3.191811,6.268161
0.020000,9.110840,283.111050,3.268868,21.538089,72.099428,3.205208,6.265898
0.020000,9.570389,283.102552,3.728495,22.981376,72.164377,3.247485,6.263494
0.020000,10.058802,283.092311,4.217015,24.425992,72.230776,3.319903,6.260950
0.020000,10.576110,283.080112,4.734467,25.872583,72.329569,4.939667,6.258269
0.020000,11.122332,283.065729,5.280878,27.320563,72.398990,3.471048,6.255452
0.020000,11.697498,283.048924,5.856290,28.770576,72.500663,5.083671,6.252503
0.020000,12.301637,283.029450,6.460743,30.222647,72.603550,5.144360,6.249423
0.020000,12.934777,283.007048,7.094279,31.676815,72.708415,5.243203,6.246216
0.020000,13.596945,282.981451,7.756942,33.133136,72.816023,5.380420,6.242884
0.020000,14.288168,282.952381,8.448775,34.591679,72.927143,5.556003,6.239429
0.020000,15.008481,282.919552,9.169836,36.053058,73.068961,7.090915,6.235857
0.020000,15.757909,282.882669,9.920172,37.516771,73.185674,5.835619,6.232169
0.020000,16.536486,282.841428,10.699840,38.983408,73.331809,7.306746,6.228369
0.020000,17.344243,282.795520,11.508900,40.453026,73.480927,7.455907,6.224461
0.020000,18.181211,282.744625,12.347414,41.925704,73.633889,7.648136,6.220449
0.020000,19.047420,282.688419,13.215445,43.401534,73.791529,7.881977,6.216336
0.020000,19.942900,282.626571,14.113058,44.880635,73.955025,8.174811,6.212128
0.020000,20.867687,282.558746,15.040329,46.363577,74.147084,9.602934,6.207829
0.020000,21.821809,282.484601,15.997327,47.849897,74.316036,8.447607,6.203443
0.020000,22.805297,282.403793,16.984130,49.340131,74.511679,9.782136,6.198975
0.020000,23.818185,282.315972,18.000817,50.834375,74.712187,10.025438,6.194431
0.020000,24.860502,282.220787,19.047472,52.332735,74.917995,10.290399,6.189815
0.020000,25.932280,282.117885,20.124179,53.835332,75.129852,10.592805,6.185133
0.020000,27.033551,282.006911,21.231027,55.342421,75.354461,11.230475,6.180390
0.020000,28.164346,281.887511,22.368108,56.854049,75.581427,11.348295,6.175593
0.020000,29.324697,281.759329,23.535517,58.370465,75.820780,11.967669,6.170747
0.020000,30.514634,281.622013,24.733351,59.891694,76.061474,12.034695,6.165859
0.020000,31.734190,281.475213,25.961711,61.417962,76.313401,12.596338,6.160935
0.020000,32.983396,281.318579,27.220698,62.949386,76.571175,12.888699,6.155981
0.020000,34.262285,281.151770,28.510421,64.486118,76.836623,13.272399,6.151005
0.020000,35.570892,280.974446,29.830987,66.028297,77.108908,13.614264,6.146012
0.020000,36.909248,280.786275,31.182507,67.576000,77.385173,13.813234,6.141011
0.020000,38.277390,280.586932,32.565095,69.129405,77.670248,14.253772,6.136008
0.020000,39.675354,280.376100,33.978867,70.688631,77.961313,14.553232,6.131011
0.020000,41.103177,280.153471,35.423943,72.253770,78.256960,14.782374,6.126027
0.020000,42.560900,279.918748,36.900442,73.824948,78.558895,15.096721,6.121065
0.020000,44.048562,279.671645,38.408487,75.402271,78.866124,15.361477,6.116131
0.020000,45.566210,279.411888,39.948204,76.985854,79.179177,15.652636,6.111234
0.020000,47.113890,279.139218,41.519719,78.575763,79.495438,15.813021,6.106381
0.020000,48.691651,278.853390,43.123162,80.172131,79.818379,16.147082,6.101582
0.020000,50.299548,278.554175,44.758663,81.775031,80.144995,16.330783,6.096843
0.020000,51.937639,278.241362,46.426354,83.384544,80.475683,16.534397,6.092175
0.020000,53.605986,277.914759,48.126369,85.000764,80.810986,16.765167,6.087584
0.020000,55.304657,277.574190,49.858844,86.623769,81.150245,16.962952,6.083080
0.020000,57.033725,277.219505,51.623916,88.253579,81.490502,17.012863,6.078672
0.020000,58.793271,276.850573,53.421724,89.890385,81.840298,17.489769,6.074368
0.020000,60.583381,276.467286,55.252407,91.534171,82.189278,17.449006,6.070177
0.020000,62.404148,276.069564,57.116107,93.184983,82.540636,17.567888,6.066109
0.020000,64.255676,275.657349,59.012966,94.842982,82.899931,17.964742,6.062171
0.020000,66.138074,275.230613,60.943129,96.508141,83.257978,17.902351,6.058374
0.020000,68.051465,274.789355,62.906741,98.180616,83.623749,18.288593,6.054727
0.020000,69.995980,274.333605,64.903951,99.860474,83.992887,18.456901,6.051238
0.020000,71.971759,273.863425,66.934904,101.547661,84.359348,18.323046,6.047918
0.020000,73.978957,273.378909,68.999753,103.242423,84.738115,18.938354,6.044775
0.020000,76.017739,272.880184,71.098648,104.944753,85.116469,18.917675,6.041820
0.020000,78.088286,272.367416,73.231742,106.654741,85.499419,19.147480,6.039063
0.020000,80.190789,271.840806,75.399192,108.372495,85.887713,19.414728,6.036512
0.020000,82.325458,271.300596,77.601155,110.098125,86.281456,19.687145,6.034178
0.020000,84.492514,270.747066,79.837788,111.831654,86.676467,19.750544,6.032072
0.020000,86.692198,270.180541,82.109255,113.573340,87.084295,20.391385,6.030203
0.020000,88.924766,269.601389,84.415718,115.323165,87.491245,20.347543,6.028582
0.020000,91.190490,269.010027,86.757345,117.081342,87.908885,20.881967,6.027219
0.020000,93.489663,268.406915,89.134305,118.847992,88.332497,21.180632,6.026126
0.020000,95.822594,267.792569,91.546770,120.623261,88.763411,21.545682,6.025313
0.020000,98.189612,267.167555,93.994916,122.407296,89.201768,21.917838,6.024791
