dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.483021,313.410832,0.007718,0.771847,38.592367,1929.618335,0.001114
0.020000,7.485975,313.410835,0.010673,0.147726,-31.206066,-3489.921618,0.000926
0.020000,7.491880,313.410839,0.016578,0.295240,7.375718,1929.089190,0.000551
0.020000,7.502461,313.410842,0.027158,0.529016,11.688763,215.652245,6.283175
0.020000,7.637732,313.410790,0.162430,6.763570,311.727718,15001.947722,6.282427
0.020000,7.806789,313.410582,0.331487,8.452868,84.464891,-11363.141307,6.281495
0.020000,8.009611,313.410126,0.534309,10.141110,84.412109,-2.639116,6.280378
0.020000,8.246171,313.409309,0.770871,11.828077,84.348355,-3.187726,6.279080
0.020000,8.516439,313.407999,1.041142,13.513553,84.273805,-3.727473,6.277602
0.020000,8.820379,313.406051,1.345088,15.197318,84.188215,-4.279482,6.275946
0.020000,9.157951,313.403298,1.682671,16.879161,84.092169,-4.802306,6.274115
0.020000,9.529109,313.399559,2.053848,18.558842,83.984067,-5.405105,6.272111
0.020000,9.933802,313.394636,2.458571,20.236164,83.866067,-5.900015,6.269937
0.020000,10.371975,313.388318,2.896789,21.910891,83.736359,-6.485403,6.267597
0.020000,10.843564,313.380375,3.368445,23.582807,83.595831,-7.026415,6.265094
0.020000,11.348501,313.370566,3.873478,25.251630,83.441120,-7.735521,6.262432
0.020000,11.886714,313.358635,4.411823,26.917256,83.281313,-7.990346,6.259615
0.020000,12.458120,313.344316,4.983409,28.579287,83.101533,-8.989022,6.256648
0.020000,13.062635,313.327327,5.588162,30.237643,82.917832,-9.185051,6.253536
0.020000,13.700163,313.307379,6.226002,31.892027,82.719187,-9.932230,6.250283
0.020000,14.370606,313.284173,6.896847,33.542227,82.510020,-10.458351,6.246894
0.020000,15.073855,313.257399,7.600605,35.187922,82.284744,-11.263780,6.243376
0.020000,15.809798,313.226742,8.337186,36.829065,82.057157,-11.379374,6.239735
0.020000,16.578312,313.191878,9.106491,38.465215,81.807480,-12.483862,6.235976
0.020000,17.379270,313.152481,9.908417,40.096326,81.555569,-12.595556,6.232106
0.020000,18.212537,313.108216,10.742859,41.722069,81.287135,-13.421686,6.228131
0.020000,19.077969,313.058751,11.609704,43.342253,81.009203,-13.896585,6.224060
0.020000,19.975419,313.003749,12.508837,44.956684,80.721529,-14.383698,6.219899
0.020000,20.904726,312.942872,13.440136,46.564950,80.413306,-15.411159,6.215655
0.020000,21.865732,312.875786,14.403480,48.167199,80.112440,-15.043312,6.211338
