dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.518102,281.910851,0.007718,0.771847,38.592367,1929.618335,0.001114
0.020000,7.515147,281.910848,0.010673,0.147726,-31.206066,-3489.921618,0.000926
0.020000,7.509243,281.910844,0.016578,0.295240,7.375718,1929.089190,0.000551
0.020000,7.502130,281.910842,0.023691,0.355647,3.020327,-217.769540,6.283175
0.020000,7.613850,281.910799,0.135411,5.585994,261.517373,12924.852293,6.282427
0.020000,7.753531,281.910627,0.275092,6.984074,69.904005,-9580.668434,6.281495
0.020000,7.921195,281.910250,0.442757,8.383220,69.957266,2.663065,6.280378
0.020000,8.116867,281.909574,0.638429,9.783641,70.021066,3.190027,6.279080
0.020000,8.340575,281.908490,0.862140,11.185555,70.095670,3.730182,6.277602
0.020000,8.592353,281.906876,1.113924,12.589175,70.181004,4.266712,6.275946
0.020000,8.872239,281.904593,1.393818,13.994728,70.277693,4.834456,6.274115
0.020000,9.180271,281.901490,1.701867,15.402420,70.384559,5.343271,6.272111
0.020000,9.516496,281.897401,2.038117,16.812490,70.503541,5.949088,6.269937
0.020000,9.880962,281.892145,2.402620,18.225156,70.633288,6.487391,6.267597
0.020000,10.273719,281.885530,2.795433,19.640650,70.774685,7.069834,6.265094
0.020000,10.694822,281.877349,3.216616,21.059151,70.925064,7.518957,6.262432
0.020000,11.144332,281.867385,3.666236,22.480994,71.092126,8.353069,6.259615
0.020000,11.622307,281.855406,4.144361,23.906265,71.263561,8.571762,6.256648
0.020000,12.128814,281.841172,4.651067,25.335322,71.452858,9.464852,6.253536
0.020000,12.663918,281.824429,5.186434,26.768339,71.650867,9.900451,6.250283
0.020000,13.227692,281.804914,5.750546,28.205566,71.861311,10.522206,6.246894
0.020000,13.820206,281.782356,6.343489,29.647155,72.079479,10.908407,6.243376
0.020000,14.441537,281.756473,6.965359,31.093494,72.316945,11.873308,6.239735
0.020000,15.091761,281.726975,7.616251,32.544633,72.556952,12.000312,6.235976
0.020000,15.770959,281.693566,8.296270,34.000956,72.816124,12.958600,6.232106
0.020000,16.479212,281.655942,9.005522,35.462600,73.082211,13.304382,6.228131
0.020000,17.216605,281.613794,9.744119,36.929818,73.360928,13.935832,6.224060
0.020000,17.983224,281.566809,10.512176,38.402855,73.651805,14.543867,6.219899
0.020000,18.779153,281.514669,11.309811,39.881760,73.945264,14.672925,6.215655
0.020000,19.604485,281.457054,12.137152,41.367056,74.264814,15.977492,6.211338
0.020000,20.459311,281.393641,12.994327,42.858721,74.583268,15.922708,6.206954
0.020000,21.343721,281.324107,13.881466,44.356971,74.912487,16.460988,6.202513
0.020000,22.257810,281.248131,14.798707,45.862044,75.253625,17.056892,6.198023
0.020000,23.201674,281.165392,15.746190,47.374181,75.606852,17.661313,6.193492
0.020000,24.175413,281.075571,16.724063,48.893625,75.972218,18.268300,6.188931
0.020000,25.179120,280.978354,17.732467,50.420210,76.329267,17.852460,6.184348
0.020000,26.212901,280.873434,18.771559,51.954573,76.718143,19.443823,6.179753
0.020000,27.276857,280.760509,19.841491,53.496596,77.101155,19.150613,6.175156
0.020000,28.371092,280.639284,20.942420,55.046487,77.494552,19.669820,6.170567
0.020000,29.495714,280.509475,22.074509,56.604453,77.898291,20.186947,6.165997
0.020000,30.650833,280.370809,23.237922,58.170623,78.308494,20.510167,6.161454
0.020000,31.836559,280.223025,24.432822,59.744987,78.718197,20.485138,6.156951
0.020000,33.053009,280.065875,25.659381,61.327950,79.148149,21.497596,6.152497
0.020000,34.300302,279.899128,26.917770,62.919483,79.576650,21.425067,6.148104
0.020000,35.578560,279.722568,28.208164,64.519691,80.010378,21.686399,6.143783
0.020000,36.887910,279.535999,29.530739,66.128749,80.452907,22.126431,6.139545
0.020000,38.228484,279.339245,30.885676,67.746828,80.903987,22.554001,6.135402
0.020000,39.600418,279.132150,32.273152,69.373816,81.349387,22.269995,6.131364
0.020000,41.003858,278.914584,33.693356,71.010202,81.819294,23.495373,6.127444
0.020000,42.438951,278.686440,35.146470,72.655680,82.273896,22.730074,6.123653
0.020000,43.905854,278.447640,36.632683,74.310688,82.750404,23.825415,6.120003
0.020000,45.404734,278.198133,38.152188,75.975255,83.228353,23.897469,6.116507
0.020000,46.935763,277.937900,39.705176,77.649365,83.705479,23.856283,6.113177
0.020000,48.499126,277.666954,41.291844,79.333393,84.201411,24.796618,6.110025
0.020000,50.095016,277.385341,42.912390,81.027327,84.696717,24.765300,6.107063
0.020000,51.723639,277.093146,44.567018,82.731374,85.202334,25.280815,6.104305
0.020000,53.385211,276.790493,46.255929,84.445569,85.709759,25.371244,6.101764
0.020000,55.079965,276.477543,47.979334,86.170263,86.234689,26.246516,6.099452
0.020000,56.808142,276.154506,49.737444,87.905507,86.762219,26.376526,6.097384
0.020000,58.570005,275.821632,51.530477,89.651623,87.305763,27.177183,6.095573
0.020000,60.365829,275.479223,53.358653,91.408803,87.859011,27.662395,6.094033
0.020000,62.195905,275.127630,55.222197,93.177197,88.419721,28.035520,6.092778
0.020000,64.060545,274.767259,57.121341,94.957195,88.999868,29.007324,6.091823
0.020000,65.960076,274.398572,59.056322,96.749040,89.592276,29.620402,6.091183
0.020000,67.894848,274.022091,61.027383,98.553049,90.200446,30.408488,6.090874
0.020000,69.865230,273.638402,63.034774,100.369567,90.825877,31.271551,6.090912
0.020000,71.871610,273.248156,65.078754,102.198984,91.470872,32.249776,6.091312
0.020000,73.914399,272.852077,67.159587,104.041669,92.134233,33.168061,6.092092
0.020000,75.994031,272.450964,69.277549,105.898084,92.820754,34.326010,6.093269
0.020000,78.110961,272.045693,71.432922,107.768695,93.530550,35.489824,6.094861
0.020000,80.265666,271.637229,73.626001,109.653941,94.262289,36.586972,6.096886
0.020000,82.458645,271.226620,75.857090,111.554447,95.025349,38.152954,6.099365
0.020000,84.690418,270.815016,78.126502,113.470588,95.807008,39.082975,6.102317
0.020000,86.961527,270.403661,80.434563,115.403060,96.623602,40.829682,6.105763
0.020000,89.272530,269.993911,82.781610,117.352350,97.464521,42.045960,6.109724
0.020000,91.624005,269.587231,85.167993,119.319166,98.340792,43.813555,6.114222
0.020000,94.016546,269.185212,87.594075,121.304069,99.245132,45.217022,6.119280
0.020000,96.450754,268.789566,90.060227,123.307589,100.176021,46.544409,6.124922
0.020000,98.927238,268.402147,92.566831,125.330222,101.131651,47.781538,6.131172
0.020000,101.438624,268.026116,95.106212,126.969056,81.941721,-959.496522,6.138034
0.020000,103.962321,267.666649,97.655382,127.458474,24.470883,-2873.541915,6.145456
0.020000,106.475311,267.328346,100.191041,126.782961,-33.775671,-2912.327679,6.153368
0.020000,108.968295,267.013369,102.703844,125.640153,-57.140383,-1168.235621,6.161729
0.020000,111.439919,266.722603,105.192513,124.433430,-60.336172,-159.789410,6.170518
0.020000,113.889783,266.456714,107.656763,123.212500,-61.046463,-35.514557,6.179717
0.020000,116.317448,266.216290,110.096304,121.977087,-61.770665,-36.210096,6.189307
0.020000,118.722444,266.001835,112.510843,120.726911,-62.508780,-36.905745,6.199270
0.020000,121.104261,265.813770,114.900073,119.461525,-63.269340,-38.028036,6.209587
0.020000,123.462355,265.652437,117.263680,118.180328,-64.059836,-39.524780,6.220236
0.020000,125.796157,265.518088,119.601345,116.883261,-64.853350,-39.675700,6.231199
0.020000,128.105061,265.410895,121.912736,115.569552,-65.685463,-41.605633,6.242454
0.020000,130.388440,265.330943,124.197515,114.238941,-66.530520,-42.252875,6.253980
0.020000,132.645645,265.278228,126.455335,112.891032,-67.395471,-43.247532,6.265755
0.020000,134.876008,265.252666,128.685845,111.525475,-68.277835,-44.118241,6.277755
