dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.199221,274.783080,0.007710,0.770954,38.547714,1927.385695,3.141775
0.020000,188.198710,274.783080,0.008221,0.025569,-37.269248,-3790.848116,3.141742
0.020000,188.197687,274.783080,0.009243,0.051116,1.277329,1927.328885,3.141677
0.020000,188.183984,274.783080,0.022946,0.685142,31.701283,1521.197711,3.141580
0.020000,188.058591,274.783089,0.148340,6.269689,279.227360,12376.303810,3.141450
0.020000,187.901852,274.783124,0.305079,7.836938,78.362443,-10043.245828,3.141289
0.020000,187.713770,274.783200,0.493160,9.404074,78.356812,-0.281553,3.141095
0.020000,187.494349,274.783334,0.712582,10.971073,78.349979,-0.341642,3.140869
0.020000,187.243591,274.783548,0.963340,12.537921,78.342358,-0.381051,3.140612
0.020000,186.961499,274.783865,1.245432,14.104584,78.333187,-0.458547,3.140323
0.020000,186.648079,274.784313,1.558853,15.671043,78.322939,-0.512423,3.140003
0.020000,186.303334,274.784922,1.903598,17.237273,78.311473,-0.573301,3.139652
0.020000,185.927269,274.785723,2.279663,18.803257,78.299203,-0.613509,3.139271
0.020000,185.519891,274.786753,2.687042,20.368967,78.285509,-0.684698,3.138859
0.020000,185.081206,274.788049,3.125730,21.934375,78.270409,-0.754988,3.138418
0.020000,184.611219,274.789652,3.595720,23.499486,78.255552,-0.742823,3.137947
0.020000,184.109938,274.791605,4.097004,25.064234,78.237410,-0.907129,3.137447
0.020000,183.577371,274.793954,4.629577,26.628627,78.219648,-0.888083,3.136918
0.020000,183.013525,274.796747,5.193430,28.192636,78.200458,-0.959499,3.136362
0.020000,182.418409,274.800034,5.788554,29.756234,78.179865,-1.029667,3.135778
0.020000,181.792033,274.803868,6.414942,31.319392,78.157894,-1.098560,3.135167
0.020000,181.134406,274.808304,7.072584,32.882109,78.135890,-1.100179,3.134529
0.020000,180.445538,274.813398,7.761471,34.444333,78.111195,-1.234752,3.133866
0.020000,179.725440,274.819211,8.481592,36.006062,78.086442,-1.237662,3.133177
0.020000,178.974124,274.825802,9.232938,37.567268,78.060284,-1.307884,3.132464
0.020000,178.191601,274.833234,10.015496,39.127923,78.032754,-1.376527,3.131728
0.020000,177.377883,274.841571,10.829256,40.688000,78.003881,-1.443604,3.130968
0.020000,176.532985,274.850879,11.674206,42.247501,77.975036,-1.442276,3.130186
0.020000,175.656918,274.861226,12.550333,43.806368,77.943345,-1.584541,3.129382
0.020000,174.749699,274.872679,13.457625,45.364599,77.911554,-1.589536,3.128557
0.020000,173.811340,274.885308,14.396069,46.922167,77.878394,-1.658007,3.127713
0.020000,172.841859,274.899184,15.365650,48.479045,77.843901,-1.724674,3.126850
0.020000,171.841270,274.914379,16.366354,50.035216,77.808533,-1.768411,3.125968
0.020000,170.809590,274.930964,17.398167,51.590649,77.771683,-1.842484,3.125070
0.020000,169.746837,274.949013,18.461074,53.145330,77.734039,-1.882177,3.124155
0.020000,168.653027,274.968598,19.555058,54.699226,77.694767,-1.963609,3.123225
0.020000,167.528181,274.989794,20.680104,56.252317,77.654594,-2.008675,3.122280
0.020000,166.372316,275.012674,21.836196,57.804584,77.613325,-2.063431,3.121323
0.020000,165.185451,275.037312,23.023316,59.356001,77.570833,-2.124590,3.120354
0.020000,163.967608,275.063780,24.241447,60.906540,77.526968,-2.193265,3.119373
0.020000,162.718807,275.092153,25.490571,62.456183,77.482148,-2.240998,3.118383
0.020000,161.439068,275.122502,26.770669,64.004907,77.436209,-2.296961,3.117384
0.020000,160.128415,275.154899,28.081722,65.552687,77.388998,-2.360523,3.116377
0.020000,158.786869,275.189416,29.423712,67.099498,77.340553,-2.422247,3.115365
0.020000,157.414453,275.226120,30.796619,68.645319,77.291052,-2.475066,3.114347
0.020000,156.011191,275.265081,32.200421,70.190127,77.240405,-2.532348,3.113326
0.020000,154.577108,275.306366,33.635099,71.733899,77.188598,-2.590375,3.112302
0.020000,153.112226,275.350039,35.100631,73.276610,77.135518,-2.654000,3.111278
0.020000,151.616573,275.396163,36.596996,74.818237,77.081363,-2.707736,3.110253
