dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.193492,306.283079,0.007710,0.770954,38.547714,1927.385695,3.141775
0.020000,188.194003,306.283079,0.008221,0.025569,-37.269248,-3790.848116,3.141742
0.020000,188.195026,306.283080,0.009243,0.051116,1.277329,1927.328885,3.141677
0.020000,188.184387,306.283080,0.019881,0.531907,24.039577,1138.112365,3.141580
0.020000,188.063076,306.283089,0.141193,6.065588,276.684030,12632.222648,3.141450
0.020000,187.911433,306.283123,0.292836,7.582151,75.828162,-10042.793377,3.141289
0.020000,187.729456,306.283196,0.474813,9.098828,75.833848,0.284289,3.141095
0.020000,187.517143,306.283326,0.687126,10.615640,75.840600,0.337633,3.140869
0.020000,187.274491,306.283532,0.929778,12.132617,75.848822,0.411063,3.140612
0.020000,187.001496,306.283840,1.202773,13.649772,75.857776,0.447728,3.140323
0.020000,186.698153,306.284273,1.506116,15.167131,75.867923,0.507343,3.140003
0.020000,186.364460,306.284862,1.839810,16.684713,75.879129,0.560288,3.139652
0.020000,186.000410,306.285638,2.203861,18.202549,75.891796,0.633359,3.139271
0.020000,185.605998,306.286635,2.598274,19.720656,75.905327,0.676568,3.138859
0.020000,185.181219,306.287890,3.023055,21.239051,75.919743,0.720772,3.138418
0.020000,184.726066,306.289443,3.478211,22.757783,75.936642,0.844963,3.137947
0.020000,184.240533,306.291334,3.963748,24.276836,75.952610,0.798409,3.137447
0.020000,183.724612,306.293610,4.479673,25.796260,75.971201,0.929557,3.136918
0.020000,183.178298,306.296316,5.025994,27.316073,75.990667,0.973261,3.136362
0.020000,182.601581,306.299501,5.602720,28.836294,76.011033,1.018318,3.135778
0.020000,181.994453,306.303217,6.209859,30.356940,76.032328,1.064755,3.135167
0.020000,181.356906,306.307518,6.847420,31.878057,76.055859,1.176560,3.134529
0.020000,180.688932,306.312458,7.515413,33.399638,76.079052,1.159640,3.133866
0.020000,179.990520,306.318095,8.213847,34.921728,76.104462,1.270503,3.133177
0.020000,179.261661,306.324489,8.942734,36.444343,76.130787,1.316265,3.132464
0.020000,178.502345,306.331701,9.702084,37.967505,76.158061,1.363686,3.131728
0.020000,177.712562,306.339793,10.491909,39.491231,76.186316,1.412750,3.130968
0.020000,176.892301,306.348830,11.312220,41.015569,76.216883,1.528349,3.130186
0.020000,176.041550,306.358877,12.163031,42.540508,76.246977,1.504683,3.129382
0.020000,175.160298,306.370002,13.044352,44.066093,76.279264,1.614372,3.128557
0.020000,174.248534,306.382274,13.956199,45.592344,76.312515,1.662548,3.127713
0.020000,173.306245,306.395761,14.898585,47.119279,76.346766,1.712549,3.126850
0.020000,172.333418,306.410534,15.871523,48.646928,76.382464,1.784911,3.125968
0.020000,171.330042,306.426664,16.875030,50.175309,76.419021,1.827847,3.125070
0.020000,170.296102,306.444224,17.909119,51.704451,76.457107,1.904260,3.124155
0.020000,169.231585,306.463285,18.973806,53.234369,76.495909,1.940109,3.123225
0.020000,168.136478,306.483920,20.069108,54.765092,76.536136,2.011347,3.122280
0.020000,167.010765,306.506203,21.195041,56.296644,76.577599,2.073172,3.121323
0.020000,165.854434,306.530207,22.351622,57.829047,76.620174,2.128750,3.120354
